DateTime,AddedIPs,RemovedIPs
1581465389,27,26
1581467295,16,20
1581469282,15,24
1581471150,9,33
1581473087,7,22
1581474990,9,28
1581476916,16,14
1581478814,12,439
1581480739,21,226
1581482671,23,11
1581484578,17,6
1581486496,13,18
1581488425,137,92
1581490335,24,835
1581492269,32,465
1581494182,63,383
1581496091,166,170
1581498975,129,460
1581500900,30,224
1581502819,27,216
1581504732,16,314
1581506654,19,389
1581508585,17,611
1581510490,4,841
1581512477,17,1117
1581514329,6,1111
1581516505,11,222
1581518411,7,96
1581520619,12,20
1581522493,15,17
1581524425,11,17
1581526326,7,12
1581528268,5,16
1581530171,27,26
1581532090,5,10
1581534075,12,6
1581535935,15,16
1581538095,13,11
1581540010,6,16
1581541933,5,25
1581543850,13,15
1581545800,9,13
1581547691,9,19
1581549611,13,14
1581551531,913,25
1581553453,630,15
1581555368,542,12
1581557286,8,6
1581560172,12,8
1581562090,17,11
1581564108,9,10
1581566016,12,8
1581567929,10,21
1581569840,14,18
1581571763,2,16
1581574668,216,138
1581576494,640,128
1581578485,131,87
1581580330,93,81
1581582289,79,141
1581584193,126,242
1581586115,223,98
1581588093,118,31
1581589944,20,17
1581592102,15,19
1581594021,13,23
1581595967,18,8
1581597864,10,6
1581599774,17,5
1581601938,11,4
1581603856,11,5
1581605813,17,4
1581607768,17,11
1581610576,25,15
1581612491,16,4
1581614449,691,5
1581616328,1103,20
1581618252,1399,6
1581620174,1354,8
1581622090,226,8
1581624050,15,8
1581625954,14,5
1581627971,17,4
1581629795,19,6
1581631707,15,6
1581633613,21,5
1581635535,12,10
1581637450,19,475
1581639377,32,604
1581641297,10,561
1581643214,19,9
1581645132,26,6
1581647056,24,15
1581648973,27,10
1581650897,27,13
1581653772,27,15
1581655696,19,14
1581657658,26,3
1581660495,21,15
1581662419,850,944
1581664341,152,175
1581666257,189,398
1581668200,409,569
1581670115,572,681
1581672016,643,862
1581673929,873,249
1581675852,302,23
1581677818,16,16
1581679691,25,17
1581682595,50,40
1581684489,20,13
1581686409,26,10
1581688335,38,10
1581690257,20,11
1581692175,30,16
1581694091,22,14
1581696970,50,24
1581698913,25,14
1581700839,30,763
1581702728,27,1215
1581704651,16,1530
1581706584,34,1492
1581708488,26,242
1581710497,32,16
1581712351,32,15
1581714263,28,15
1581716170,28,22
1581718120,26,16
1581720015,32,23
1581722196,27,20
1581724091,26,23
1581726022,29,20
1581727946,32,9
1581730119,21,20
1581733227,121,41
1581735128,36,27
1581737066,22,25
1581738973,31,18
1581740889,33,11
1581744012,45,39
1581745930,26,20
1581747866,298,10
1581749771,581,863
1581751952,61,38
1581753902,438,26
1581755789,43,30
1581757703,246,21
1581759865,134,47
1581761794,29,44
1581763719,28,19
1581765612,19,18
1581767545,113,25
1581769466,21,30
1581771375,26,20
1581773294,34,29
1581775282,36,37
1581777135,26,26
1581779313,29,24
1581781237,20,26
1581783166,10,18
1581785057,27,29
1581786977,29,38
1581788914,23,29
1581790825,23,15
1581792733,26,28
1581794690,24,22
1581796589,26,30
1581798496,23,23
1581801374,48,53
1581803291,41,26
1581805223,37,22
1581807150,32,25
1581809067,34,20
1581810969,19,31
1581812891,16,24
1581814917,24,34
1581816737,24,22
1581818903,17,88
1581820814,16,43
1581823124,27,34
1581825153,19,32
1581827078,11,29
1581828995,19,26
1581830891,17,16
1581833805,534,48
1581835733,679,664
1581837637,18,254
1581839531,23,251
1581841455,12,140
1581843384,31,130
1581845292,17,256
1581848422,2682,45
1581850337,11,31
1581852255,12,96
1581854191,15,99
1581856093,10,20
1581858975,14,50
1581860896,10,37
1581862825,16,20
1581864741,15,25
1581866653,19,20
1581868592,13,13
1581870502,17,13
1581872482,26,34
1581874365,14,24
1581876270,18,14
1581878170,399,33
1581880117,1982,21
1581882012,243,27
1581883933,7,16
1581885865,8,27
1581887789,15,34
1581889940,60,42
1581891858,23,31
1581893785,21,31
1581895690,20,34
1581897750,12,18
1581899769,15,23
1581901706,21,19
1581903611,15,23
1581905537,12,13
1581907464,24,12
1581909390,22,25
1581911311,23,15
1581913224,32,10
1581915137,23,16
1581917054,12,13
1581918986,16,16
1581920892,836,192
1581923018,106,568
1581924993,141,234
1581926905,247,277
1581928811,308,403
1581930766,411,368
1581932664,387,2759
1581934573,202,24
1581936494,23,12
1581938424,30,11
1581940328,26,15
1581942250,21,10
1581944187,28,9
1581946089,63,7
1581948102,28,12
1581949951,34,16
1581952127,36,18
1581954014,30,17
1581955963,25,10
1581957855,24,17
1581959774,27,23
1581961716,27,18
1581963624,158,11
1581965529,26,1218
1581967472,23,1720
1581969388,23,255
1581971289,29,4
1581973313,27,13
1581975135,24,52
1581977006,26,22
1581978975,20,25
1581980921,11,17
1581982812,15,19
1581984761,20,10
1581986651,21,17
1581988578,25,21
1581990517,19,14
1581992412,25,12
1581994331,25,23
1581996278,16,22
1581998176,706,23
1582000096,22,24
1582002131,30,24
1582003938,30,11
1582005887,11,14
1582007794,131,604
1582009699,404,378
1582011612,765,151
1582013577,745,138
1582015456,1088,193
1582017376,697,169
1582019320,705,138
1582021211,561,20
1582023129,215,21
1582025095,219,32
1582027003,226,26
1582029134,114,31
1582031302,39,20
1582033213,38,97
1582035158,711,22
1582037059,965,31
1582039022,598,46
1582040909,42,24
1582042810,14,18
1582044993,23,26
1582046890,16,13
1582049781,28,223
1582051718,16,21
1582053616,27,23
1582055532,15,20
1582057468,19,28
1582059371,16,23
1582061307,11,18
1582064431,34,39
1582066388,12,14
1582068267,4,11
1582070170,13,18
1582072149,11,16
1582074153,90,28
1582076186,16,18
1582078090,17,9
1582080011,68,31
1582081946,13,14
1582083855,9,20
1582085787,14,30
1582087706,8,22
1582089608,13,19
1582091527,11,20
1582093467,108,77
1582095368,28,30
1582097288,29,26
1582099332,31,45
1582101142,33,142
1582103302,37,366
1582105231,31,226
1582107135,28,366
1582109058,24,233
1582110976,37,341
1582112903,34,578
1582114824,21,1294
1582116732,25,453
1582118654,28,296
1582120617,21,153
1582122522,34,22
1582125376,39,462
1582127293,33,247
1582129298,21,15
1582131136,23,23
1582133062,24,15
1582134986,32,19
1582136892,27,16
1582139776,47,805
1582141705,562,921
1582143654,40,475
1582145528,35,18
1582147452,38,11
1582149384,34,19
1582151551,31,15
1582153515,264,9
1582155390,27,12
1582157301,36,9
1582159214,39,91
1582161147,26,10
1582163057,31,16
1582164984,36,20
1582166896,20,73
1582168813,36,8
1582170793,33,11
1582172653,31,11
1582174587,27,8
1582176489,25,12
1582178494,38,12
1582180348,963,425
1582182292,262,386
1582184173,54,38
1582186125,52,92
1582188015,109,182
1582189936,207,268
1582191868,284,77
1582193817,98,28
1582195695,42,31
1582197634,34,28
1582199539,29,35
1582201458,30,22
1582203387,31,25
1582205292,28,28
1582208175,47,45
1582210098,24,31
1582212049,14,17
1582213934,22,33
1582215853,21,21
1582217792,163,27
1582219690,614,21
1582221719,1250,36
1582223546,1393,24
1582225510,1060,26
1582227386,712,432
1582229301,19,26
1582231220,12,37
1582233147,6,37
1582235050,11,59
1582236971,20,24
1582238908,23,27
1582240822,18,19
1582242729,25,32
1582244670,18,36
1582246571,19,32
1582248508,10,25
1582251385,33,48
1582253309,14,18
1582255216,10,34
1582257144,23,30
1582259054,20,30
1582260972,21,24
1582262913,18,22
1582265804,52,70
1582267715,951,2111
1582269614,75,1320
1582271530,89,1078
1582273474,60,833
1582275370,97,936
1582277295,86,998
1582279347,107,373
1582281148,88,41
1582283106,63,37
1582284976,69,39
1582287159,59,29
1582289055,68,30
1582290982,61,42
1582292927,40,39
1582294811,16,20
1582296727,20,21
1582298668,22,21
1582300568,21,17
1582302490,12,24
1582304474,20,152
1582306331,20,1050
1582308510,29,2159
1582310411,26,2178
1582312347,26,1697
1582314251,15,828
1582316173,14,26
1582318120,14,13
1582320986,29,16
1582322904,11,16
1582324837,15,22
1582326750,26,26
1582328653,16,35
1582330571,15,32
1582332507,23,28
1582334410,21,16
1582336329,15,22
