DateTime,Entries,UniqueIPs
1581465389,17686,17686
1581467295,17682,17682
1581469282,17673,17673
1581471150,17649,17649
1581473087,17634,17634
1581474990,17615,17615
1581476916,17617,17617
1581478814,17190,17190
1581480739,16985,16985
1581482671,16997,16997
1581484578,17008,17008
1581486496,17003,17003
1581488425,17048,17048
1581490335,16237,16237
1581492269,15804,15804
1581494182,15484,15484
1581496091,15480,15480
1581498975,15149,15149
1581500900,14955,14955
1581502819,14766,14766
1581504732,14468,14468
1581506654,14098,14098
1581508585,13504,13504
1581510490,12667,12667
1581512477,11567,11567
1581514329,10462,10462
1581516505,10251,10251
1581518411,10162,10162
1581520619,10154,10154
1581522493,10152,10152
1581524425,10146,10146
1581526326,10141,10141
1581528268,10130,10130
1581530171,10131,10131
1581532090,10126,10126
1581534075,10132,10132
1581535935,10131,10131
1581538095,10133,10133
1581540010,10123,10123
1581541933,10103,10103
1581543850,10101,10101
1581545800,10097,10097
1581547691,10087,10087
1581549611,10086,10086
1581551531,10974,10974
1581553453,11589,11589
1581555368,12119,12119
1581557286,12121,12121
1581560172,12125,12125
1581562090,12131,12131
1581564108,12130,12130
1581566016,12134,12134
1581567929,12123,12123
1581569840,12119,12119
1581571763,12105,12105
1581574668,12183,12183
1581576494,12695,12695
1581578485,12739,12739
1581580330,12751,12751
1581582289,12689,12689
1581584193,12573,12573
1581586115,12698,12698
1581588093,12785,12785
1581589944,12788,12788
1581592102,12784,12784
1581594021,12774,12774
1581595967,12784,12784
1581597864,12788,12788
1581599774,12800,12800
1581601938,12807,12807
1581603856,12813,12813
1581605813,12826,12826
1581607768,12832,12832
1581610576,12842,12842
1581612491,12854,12854
1581614449,13540,13540
1581616328,14623,14623
1581618252,16016,16016
1581620174,17362,17362
1581622090,17580,17580
1581624050,17587,17587
1581625954,17596,17596
1581627971,17609,17609
1581629795,17622,17622
1581631707,17631,17631
1581633613,17647,17647
1581635535,17649,17649
1581637450,17193,17193
1581639377,16621,16621
1581641297,16070,16070
1581643214,16080,16080
1581645132,16100,16100
1581647056,16109,16109
1581648973,16126,16126
1581650897,16140,16140
1581653772,16152,16152
1581655696,16157,16157
1581657658,16180,16180
1581660495,16186,16186
1581662419,16092,16092
1581664341,16069,16069
1581666257,15860,15860
1581668200,15700,15700
1581670115,15591,15591
1581672016,15372,15372
1581673929,15996,15996
1581675852,16275,16275
1581677818,16275,16275
1581679691,16283,16283
