DateTime,AddedIPs,RemovedIPs
1581464173,3,2
1581466105,4,5
1581468010,5,9
1581469931,1,5
1581471865,3,4
1581473772,5,2
1581475703,1,4
1581477624,5,3
1581479532,2,4
1581481452,6,6
1581483384,5,7
1581485289,3,5
1581488198,8,5
1581490090,6,5
1581492025,3,6
1581493950,7,7
1581495852,5,9
1581497784,4,1
1581499686,5,7
1581502821,12,8
1581504735,7,7
1581506658,4,7
1581508588,5,3
1581510493,7,5
1581512601,11,4
1581514607,3,4
1581516507,5,6
1581518415,9,3
1581520621,7,3
1581522495,10,1
1581524427,6,4
1581526328,9,11
1581528269,14,5
1581530173,8,6
1581532092,8,2
1581534138,4,3
1581536184,11,7
1581538098,8,4
1581540013,9,9
1581541934,6,3
1581543852,12,2
1581545803,12,5
1581547710,11,3
1581549613,4,6
1581551533,4,2
1581553455,4,7
1581555370,7,3
1581557288,5,1
1581559263,8,4
1581561148,6,3
1581563423,6,4
1581565243,5,3
1581567238,6,4
1581569087,9,5
1581570991,8,5
1581572889,5,4
1581575062,10,8
1581576969,11,3
1581578892,11,5
1581580890,5,5
1581582736,13,7
1581584654,4,5
1581586575,12,4
1581588570,8,10
1581590412,7,5
1581592333,3,4
1581594252,7,4
1581596427,8,5
1581598336,7,12
1581600270,5,6
1581602173,4,2
1581604089,2,12
1581606057,2,6
1581607937,6,7
1581610101,3,8
1581612012,6,8
1581613934,5,13
1581615853,8,10
1581617772,6,6
1581619713,7,6
1581621610,3,12
1581623528,5,4
1581625451,8,10
1581627369,4,5
1581629289,2,10
1581632172,0,19
1581634116,2,11
1581636012,0,4
1581637930,1,4
1581639858,1,4
1581641797,2,7
1581643694,3,6
1581646569,1,11
1581648492,2,4
1581650412,0,4
1581652332,1,6
1581654285,0,9
1581656172,0,7
1581658088,2,6
1581660968,0,10
1581662917,3,13
1581664810,1,8
1581666737,7,8
1581668651,11,13
1581670578,6,4
1581672491,10,12
1581674492,7,10
1581676334,7,6
1581678293,6,3
1581680171,8,8
1581682106,6,5
1581684016,4,6
1581685936,5,7
1581687851,5,4
1581689770,8,5
1581691955,3,2
1581693855,2,3
1581695772,5,4
1581697692,5,7
1581699696,7,7
1581701575,6,4
1581703492,12,9
1581705373,7,7
1581707315,7,2
1581709216,6,2
1581711138,2,11
1581713067,4,3
1581715951,6,5
1581718122,10,0
1581720019,3,1
1581722199,8,0
1581724093,4,1
1581726026,7,1
1581727948,11,2
1581730122,3,3
1581732229,10,0
1581734170,3,3
1581736357,7,0
1581738258,2,1
1581740178,5,0
1581742123,7,0
1581744015,8,0
1581745931,6,2
1581747869,2,1
1581749773,11,2
1581751954,3,1
1581753910,6,5
1581755790,6,11
1581757705,7,6
1581759868,6,12
1581761796,3,5
1581763721,5,7
1581765615,2,8
1581767548,5,6
1581769469,6,5
1581771378,7,5
1581773297,8,5
1581775402,5,7
1581777385,8,4
1581779317,3,2
1581781241,2,4
1581783168,4,4
1581785059,2,8
1581786979,5,4
1581788916,2,8
1581790840,5,13
1581792744,5,6
1581794692,7,8
1581796592,5,1
1581798500,5,3
1581800574,5,5
1581802454,3,3
1581804517,9,9
1581806415,5,4
1581808363,4,6
1581810268,1,6
1581812190,3,7
1581814113,8,11
1581816010,5,3
1581817930,6,5
1581819952,5,9
1581821771,5,3
1581823726,3,5
1581825708,5,4
1581827667,1,7
1581829710,5,7
1581831621,0,7
1581833547,3,4
1581835465,1,12
1581837403,4,3
1581839299,6,4
1581841239,3,6
1581843151,3,10
1581845059,4,3
1581846989,3,5
1581848893,2,1
1581850975,1,6
1581852783,3,4
1581854707,2,3
1581856579,12,8
1581858509,1,5
1581860418,7,8
1581862336,6,5
1581864277,11,6
1581866176,6,3
1581868121,9,4
1581870028,2,3
1581871936,7,3
1581873856,4,4
1581875809,4,4
1581877695,6,5
1581880823,3,10
1581882727,7,5
1581884662,8,6
1581886586,9,3
1581888488,4,5
1581891377,4,9
1581893294,4,5
1581895230,3,5
1581897130,6,1
1581899056,0,4
1581901005,4,7
1581902905,3,8
1581905777,9,8
1581907694,3,5
1581909623,3,4
1581911536,4,4
1581913454,4,2
1581915407,6,4
1581917291,4,2
1581919288,3,2
1581921150,5,1
1581923168,4,2
1581924998,2,9
1581926908,4,2
1581928816,6,3
1581930769,4,3
1581932668,3,4
1581934576,46,2
1581936498,5,2
1581938428,2,0
1581940332,8,3
1581942255,8,4
1581944193,1,8
1581946093,7,3
1581948217,3,10
1581950171,6,9
1581952131,3,5
1581954018,5,9
1581955967,2,2
1581957862,4,5
1581959778,2,2
1581961720,3,7
1581963628,1,3
1581965533,1,3
1581967476,4,4
1581969394,4,5
1581971293,5,8
1581973436,5,9
1581975372,3,4
1581977347,7,2
1581979214,4,5
1581981138,5,2
1581983074,4,7
1581984973,3,0
1581986913,1,4
1581988811,2,1
1581990764,2,5
1581992674,5,6
1581994568,6,3
1581996498,3,4
1581999378,8,7
1582001339,5,4
1582003225,6,3
1582005129,2,3
1582007077,3,4
1582008971,7,5
1582010894,8,2
1582012931,2,3
1582014742,4,6
1582016692,1,3
1582018600,4,5
1582020502,4,58
1582022419,4,4
1582024358,3,3
1582026256,5,7
1582028434,7,9
1582030332,3,2
1582032278,2,5
1582034173,5,5
1582036092,6,4
1582038272,4,4
1582040191,7,5
1582042110,4,2
1582044015,3,5
1582045952,3,2
1582047854,10,3
1582049784,1,1
1582051722,3,1
1582053619,4,3
1582055536,3,5
1582057472,5,5
1582059375,7,2
1582061311,5,5
1582064435,5,8
1582066391,5,8
1582068271,2,2
1582070203,1,3
1582072153,3,3
1582074279,2,2
1582076190,2,3
1582078112,2,4
1582080014,3,7
1582081950,3,1
1582083860,0,6
1582085791,2,5
1582087711,1,4
1582089613,3,6
1582091531,1,2
1582093470,1,3
1582095371,4,7
1582097291,3,8
1582099384,6,2
1582101389,2,4
1582103305,3,1
1582105234,2,5
1582107140,4,3
1582109063,2,4
1582110980,2,3
1582112910,3,6
1582114827,7,6
1582116736,0,3
1582118659,3,2
1582120621,0,5
1582122528,1,6
1582125380,2,5
1582127298,1,9
1582129301,1,2
1582131141,3,2
1582133065,8,6
1582134990,1,7
1582136896,2,1
1582138987,5,5
1582141236,7,2
1582143136,4,5
1582145069,4,5
1582146987,1,7
1582149147,0,4
1582151178,3,3
1582152987,4,6
1582154890,2,2
1582158007,5,3
1582159948,2,1
1582161866,3,3
1582163772,2,1
1582165980,3,4
1582167960,2,3
1582169776,3,0
1582171718,2,2
1582173657,2,1
1582175538,1,1
1582177473,3,3
1582179377,4,0
1582181299,1,3
1582183274,2,5
1582185142,0,3
1582187054,2,4
1582188990,3,1
1582190896,0,4
1582193128,1,3
1582194973,0,3
1582196907,2,1
1582198834,5,4
1582200740,2,4
1582202675,2,2
1582204640,2,3
1582206496,2,0
1582208430,0,1
1582210329,0,1
1582212251,1,2
1582214186,2,0
1582216096,1,1
1582219229,0,10
1582221134,1,2
