DateTime,AddedIPs,RemovedIPs
1581424092,0,1
1581427230,5,7
1581429133,0,5
1581431053,3,5
1581432987,4,1
1581434892,0,3
1581437003,9,1
1581438998,2,1
1581440910,5,0
1581442816,3,2
1581444732,5,1
1581446669,3,8
1581448585,1,4
1581450496,1,1
1581452431,5,3
1581454330,4,5
1581456251,4,0
1581458189,3,2
1581460092,4,4
1581462182,3,6
1581464172,5,7
1581466104,8,4
1581468010,2,5
1581469931,4,4
1581471865,7,5
1581473771,6,3
1581475702,2,2
1581477624,5,2
1581479531,8,5
1581481451,4,4
1581483384,4,2
1581485288,3,0
1581488198,5,3
1581490090,4,4
1581492025,2,3
1581493949,2,4
1581495852,2,3
1581497784,2,3
1581499686,2,0
1581501698,3,4
1581503547,2,2
1581505455,4,5
1581507393,7,2
1581509315,4,2
1581511216,4,1
1581513165,3,3
1581515065,4,3
1581516974,5,3
1581518907,1,6
1581520808,1,1
1581522743,3,7
1581524652,1,3
1581526585,7,3
1581528489,4,2
1581530483,3,5
1581532354,4,3
1581534500,4,4
1581536413,6,1
1581538367,7,6
1581540285,5,5
1581542217,2,2
1581544127,5,1
1581546011,5,3
1581547930,6,6
1581549874,5,2
1581551769,0,3
1581553692,5,6
1581556571,12,4
1581558500,2,5
1581560409,5,4
1581562345,4,1
1581564279,2,4
1581566612,4,5
1581568438,3,2
1581570536,0,4
1581572442,1,2
1581574671,3,5
1581576497,4,4
1581578486,2,3
1581580332,9,2
1581582291,3,1
1581584194,4,1
1581586137,4,3
1581588134,5,2
1581589946,5,7
1581592103,5,4
1581594022,4,1
1581595968,1,7
1581597867,2,4
1581599776,1,7
1581601939,1,4
1581603858,4,2
1581605816,2,3
1581607770,3,2
1581609698,2,2
1581611565,4,3
1581613520,7,5
1581615372,5,3
1581617311,2,3
1581619214,4,3
1581621137,4,3
1581623056,3,4
1581624978,5,7
1581626889,0,4
1581628813,1,3
1581630735,0,7
1581632659,4,9
1581634573,0,6
1581636495,1,3
1581638586,0,1
1581640647,0,4
1581642537,3,9
1581644415,2,6
1581646339,1,5
1581648250,1,5
1581650195,1,5
1581652127,0,8
1581654034,3,5
1581655932,3,2
1581657888,0,3
1581660739,1,6
1581662659,0,6
1581664671,2,5
1581666495,2,8
1581668422,9,6
1581670352,11,4
1581672256,6,5
1581674185,7,9
1581676091,5,9
1581679000,9,4
1581680890,9,3
1581682820,4,5
1581684730,8,1
1581686656,5,2
1581688598,5,2
1581690506,5,4
1581693854,11,8
1581695772,4,6
1581697691,5,8
1581699681,4,10
1581701575,8,6
1581703491,3,3
1581705373,3,11
1581707314,2,4
1581709215,11,1
1581711138,4,6
1581713067,4,3
1581715951,3,1
1581718122,5,2
1581720018,5,1
1581722198,4,1
1581724093,5,0
1581726025,6,0
1581727948,7,0
1581730121,7,3
1581732198,5,0
1581734169,4,1
1581736356,2,1
1581738258,2,0
1581740177,6,3
1581742123,5,1
1581744014,4,0
1581745931,2,0
1581747869,2,0
1581749773,3,1
1581751954,4,2
1581753907,6,4
1581755790,3,8
1581757704,4,1
1581759867,4,4
1581761796,4,2
1581763721,5,8
1581765615,3,2
1581767548,1,4
1581769469,2,2
1581771377,6,3
1581773297,4,4
1581775392,3,4
1581777385,7,4
1581779317,2,2
1581781241,3,5
1581783167,5,4
1581785059,5,5
1581786979,2,4
1581788915,1,7
1581790837,3,2
1581792735,6,2
1581794692,3,3
1581796592,5,2
1581798499,3,2
1581800549,4,1
1581802454,2,0
1581804516,2,4
1581806414,2,6
1581808363,8,4
1581810268,1,2
1581812190,4,5
1581814113,4,7
1581816010,5,9
1581817929,1,4
1581819951,3,0
1581821771,2,2
1581823726,1,1
1581825691,1,4
1581827666,5,3
1581829710,3,7
1581831621,1,3
1581833547,3,2
1581835464,3,9
1581837403,4,1
1581839299,3,3
1581841239,6,6
1581843151,5,3
1581845058,2,6
1581846988,4,4
1581848893,3,4
1581850963,6,5
1581852783,5,1
1581854706,3,3
1581856579,2,6
1581858508,4,9
1581860418,6,5
1581862335,3,4
1581864277,0,7
1581866175,3,4
1581868121,3,3
1581870027,4,7
1581871936,5,2
1581873855,3,6
1581875809,2,4
1581877695,4,2
1581880823,3,4
1581882727,2,5
1581884661,1,3
1581886586,4,1
1581888488,5,1
1581891377,21,4
1581893294,1,2
1581895230,4,4
1581897130,4,2
1581899056,3,4
1581901004,5,5
1581902905,3,1
1581905776,10,7
1581907693,2,6
1581909623,3,2
1581911535,2,0
1581913454,1,1
1581915407,7,7
1581917291,4,1
1581919275,1,3
1581921150,8,2
1581923162,1,5
1581924997,4,2
1581926907,3,5
1581928815,0,2
1581930768,1,8
1581932667,6,3
1581934576,5,0
1581936498,10,4
1581938428,1,1
1581940331,3,5
1581942255,3,1
1581944192,2,0
1581946093,4,9
1581948210,4,3
1581950171,5,4
1581952131,4,2
1581954018,3,1
1581955966,4,1
1581957861,0,4
1581959778,1,3
1581961719,2,1
1581963627,1,3
1581965532,2,1
1581967475,4,2
1581969393,3,7
1581971293,5,3
1581973422,1,4
1581975371,3,8
1581977347,3,13
1581979214,0,7
1581981137,7,3
1581983073,2,3
1581984973,3,4
1581986913,4,2
1581988811,1,4
1581990764,6,5
1581992673,1,9
1581994568,0,8
1581996498,2,3
1581999377,4,2
1582001339,0,4
1582003224,3,5
1582005129,3,1
1582007076,5,4
1582008970,0,3
1582010894,3,5
1582012914,4,3
1582014742,3,1
1582016692,4,2
1582018600,0,6
1582020501,2,2
1582022419,8,13
1582024357,3,2
1582026256,2,2
1582028434,0,3
1582030331,3,2
1582032278,2,2
1582034172,3,5
1582036091,4,4
1582038227,0,2
1582040191,0,3
1582042109,1,5
1582044014,1,1
1582045952,3,1
1582047854,3,4
1582049783,2,1
1582051721,5,2
1582053619,8,3
1582055535,4,3
1582057472,1,2
1582059374,4,4
1582061310,4,1
1582064434,3,4
1582066391,4,7
1582068271,1,5
1582070203,2,2
1582072152,2,4
1582074267,1,2
1582076189,3,6
1582078112,6,4
1582080014,3,2
1582081949,1,3
1582083859,2,4
1582085791,3,5
1582087710,6,4
1582089613,2,4
1582091531,2,4
