DateTime,AddedIPs,RemovedIPs
1581473773,11,32
1581475704,10,41
1581477626,6,18
1581479533,10,17
1581481460,11,7
1581483388,10,6
1581485290,7,12
1581487264,6,11
1581489150,7,6
1581491105,15,14
1581492985,58,68
1581494912,23,34
1581496816,10,30
1581498736,4,35
1581500670,1,26
1581502576,12,67
1581504501,5,85
1581506422,49,34
1581508333,30,20
1581510260,23,38
1581512185,35,36
1581514091,30,15
1581516140,21,11
1581518185,25,15
1581520107,20,20
1581522029,5,16
1581523936,5,14
1581525865,5,20
1581527774,8,21
1581529706,5,19
1581531607,10,2
1581533535,4,43
1581535484,2,13
1581537389,4,10
1581539287,5,1
1581542218,8,9
1581544130,4,8
1581546012,7,6
1581547930,3,8
1581549875,14,18
1581551770,2,147
1581553693,6,6
1581556572,11,10
1581558501,3,8
1581560409,6,19
1581562346,10,13
1581564279,7,8
1581566613,4,10
1581568439,7,10
1581570538,19,11
1581572442,20,9
1581574672,20,11
1581576498,14,10
1581578488,11,64
1581580333,32,29
1581582292,16,13
1581584196,13,6
1581586138,8,4
1581588169,26,14
1581590170,32,9
1581592104,37,54
1581594024,29,81
1581595969,25,163
1581597870,16,27
1581599778,20,33
1581601939,6,28
1581603859,13,25
1581605817,15,27
1581607771,25,4
1581609733,16,8
1581611567,16,3
1581613537,10,12
1581615373,19,3
1581617312,16,10
1581619216,14,2
1581621138,19,4
1581623057,17,5
1581624978,16,4
1581626890,17,10
1581628814,21,5
1581630735,13,4
1581632659,14,9
1581634574,17,2
1581636496,22,11
1581638633,21,4
1581640649,67,6
1581642546,15,7
1581644416,18,2
1581646340,16,5
1581648253,16,11
1581650196,18,7
1581652128,11,4
1581654038,11,5
1581655933,20,12
1581657889,15,15
1581660740,25,24
1581662662,21,14
1581664672,21,10
1581666496,26,23
1581668423,19,16
1581670354,15,10
1581672257,4,6
1581674186,8,19
1581676093,12,14
1581679001,17,51
1581680891,7,31
1581682823,17,19
1581684735,6,15
1581686657,7,19
1581688599,7,8
1581690507,8,14
1581692587,6,28
1581694577,5,15
1581696506,5,10
1581698412,12,11
1581700335,11,14
1581702267,10,17
1581704201,8,7
1581706094,14,12
1581708021,20,27
1581709931,18,17
1581711873,14,15
1581713786,11,17
1581715691,11,19
1581718581,20,16
1581720761,15,14
1581722655,12,21
1581724590,10,27
1581726496,7,56
1581728563,9,23
1581730582,10,18
1581732523,10,20
1581734415,12,16
1581736358,15,21
1581738260,19,15
1581740179,19,15
1581742125,15,24
1581744016,11,16
1581745932,14,21
1581747870,14,16
1581749778,10,17
1581751956,10,30
1581753914,13,39
1581755792,9,15
1581757706,11,12
1581759869,18,10
1581761798,12,7
1581763740,26,20
1581765618,27,10
1581767550,21,5
1581769471,21,19
1581771379,12,5
1581773298,4,5
1581775464,9,3
1581777387,1,4
1581779319,11,8
1581781242,7,7
1581783188,8,4
1581785061,20,7
1581786981,10,16
1581788917,8,7
1581790843,11,4
1581792746,10,21
1581794694,12,23
1581796594,13,18
1581798502,14,8
1581800667,3,12
1581802834,12,12
1581804983,17,16
1581806897,11,16
1581808810,11,8
1581810734,15,7
1581812668,9,6
1581814571,9,7
1581816492,3,7
1581818589,6,13
1581820586,3,11
1581822504,15,8
1581824438,19,22
1581826340,18,17
1581828293,18,18
1581830184,12,12
1581832097,12,15
1581834025,7,11
1581835931,5,8
1581837868,7,9
1581839785,3,14
1581841693,6,14
1581844822,9,21
1581846728,14,14
1581848650,31,16
1581850583,36,26
1581852488,54,20
1581854503,28,29
1581856354,11,27
1581858259,12,9
1581860174,10,3
1581862105,16,9
1581864012,24,2
1581865934,14,14
1581867887,15,9
1581869787,12,10
1581871691,20,25
1581873626,22,12
1581875608,28,11
1581877470,12,10
1581879395,21,11
1581881297,19,13
1581883487,16,13
1581885400,19,10
1581887322,24,5
1581889213,21,9
1581891131,12,11
1581893067,23,12
1581894983,11,10
1581896895,23,20
1581898826,16,9
1581900736,12,8
1581902676,12,2
1581904586,8,6
1581906496,10,5
1581908589,9,11
1581910576,14,20
1581912504,12,16
1581914416,17,18
1581916332,11,14
1581918274,15,14
1581920175,13,6
1581922099,10,5
1581924028,12,7
1581925957,8,5
1581927852,13,6
1581929788,4,6
1581931689,5,6
1581934578,7,30
1581936502,8,30
1581938430,13,46
1581940333,14,19
1581942259,7,10
1581944196,8,12
1581946095,10,7
1581948280,5,10
1581950173,11,21
1581952133,9,19
1581954022,25,18
1581955997,13,12
1581957871,12,17
1581959780,9,20
1581961721,14,20
1581963630,22,11
1581965535,16,12
1581967477,10,27
1581969396,5,13
1581971295,10,17
1581973477,5,28
1581975375,14,18
1581977350,7,17
1581979216,5,23
1581981140,7,21
1581983076,15,23
1581984975,5,17
1581986914,7,15
1581988815,6,12
1581990768,3,11
1581992675,922,12
1581994570,4200,9
1581996500,418,16
1581999379,26,24
1582001341,22,19
1582003226,21,9
1582005131,14,13
1582007078,23,12
1582008972,24,13
1582010896,27,10
1582012977,21,7
1582014995,30,12
1582016900,27,7
1582018816,17,3
1582020756,18,4
1582022653,15,8
1582024572,15,11
1582026531,14,17
1582028436,18,5
1582030334,18,7
1582032280,18,8
1582034174,16,6
1582036093,13,6
1582038306,5,12
1582040193,14,24
1582042114,13,10
1582044018,15,17
1582045954,25,10
1582047857,16,14
1582049786,17,24
1582051724,17,15
1582053621,16,9
1582055538,18,6
1582057476,19,10
1582059377,12,7
1582061313,17,3
1582064437,20,11
1582066394,19,9
1582068273,55,5
1582070206,23,12
1582072155,15,6
1582074290,12,5
1582076192,18,6
1582078114,22,4
1582080016,18,2630
1582081952,16,2926
1582083861,21,10
1582085793,17,12
1582087712,23,20
1582089617,18,17
1582091532,16,14
1582093472,28,16
1582095383,26,17
1582097293,34,17
1582099390,25,14
1582101397,25,21
1582103309,22,18
1582105236,18,11
1582107142,15,14
1582109064,12,12
1582110982,26,10
1582112912,31,13
1582114829,28,12
1582116740,30,12
1582118672,16,14
1582120623,16,14
1582122532,9,14
1582124529,10,4
1582126353,19,4
1582128310,15,14
1582130180,9,7
1582132128,14,13
1582134022,16,8
1582135953,11,13
1582137869,14,10
1582139779,12,9
1582141708,1,9
1582143657,9,14
1582145531,17,5
1582147464,7,8
1582149387,8,5
1582151553,5,9
1582153540,12,12
1582155402,14,21
1582157321,7,26
1582159217,3,13
1582161150,11,11
1582163060,4,14
1582164990,2,17
1582166899,3,21
1582168817,21,18
1582170806,9,31
1582172657,28,27
1582174591,32,23
1582176492,19,24
1582179623,34,51
1582181529,25,33
1582183470,14,29
1582185387,21,27
1582187290,20,21
1582190425,30,35
1582192334,12,11
1582194294,16,7
1582196189,10,10
1582198090,33,29
1582200093,37,19
1582201964,23,23
1582203898,22,30
1582205793,19,7
1582207711,21,4
1582209612,15,10
1582211539,9,14
1582213465,9,17
1582215385,7,13
1582217295,6,13
1582219230,6,14
1582221136,8,15
1582223080,4,12
1582224986,4,18
1582226926,6,10
1582229000,10,5
1582230991,3,18
1582232900,4,9
1582234815,8,7
1582236752,6,5
1582238679,4,3
1582240577,15,13
1582242513,9,10
1582244435,10,5
1582246335,10,5
1582248273,16,4
1582250175,6,5
1582252091,7,2
1582254219,9,6
1582256184,10,19
1582258116,12,23
1582260034,17,31
1582261953,8,32
1582263901,11,21
1582265817,14,28
1582267718,8,28
1582269618,9,24
1582271546,11,22
1582273477,9,20
1582275372,13,16
1582277299,9,13
1582279477,12,14
1582281406,5,19
1582283303,26,43
1582285214,18,29
1582287161,11,41
1582289058,12,39
1582291933,23,36
1582294106,22,34
1582296018,9,20
1582297975,13,14
1582299861,16,11
1582301773,18,7
1582303714,12,6
1582305610,10,9
1582307548,13,7
1582309470,8,6
1582311388,8,5
1582313293,13,5
1582315456,7,7
1582317387,11,6
1582320269,10,11
1582322180,10,5
1582324094,14,4
1582326978,12,25
1582328910,5,12
1582330813,6,10
1582332731,8,14
1582334668,3,18
1582336572,3,11
1582338491,3,9
1582341616,41,20
1582343545,39,18
1582345470,8,22
1582347373,22,8
1582349292,12,8
1582351281,12,17
1582353150,21,7
1582354978,21,6
1582356987,23,7
1582358897,13,8
1582360874,13,7
1582363001,7,18
1582364899,15,8
1582366826,54,7
1582368733,45,10
1582370654,29,29
1582372587,28,14
1582374502,23,7
1582376592,20,11
1582378610,27,14
1582380505,10,18
1582382421,8,8
1582384340,8,9
1582386268,12,13
1582388203,14,18
1582390097,10,11
1582392023,17,8
1582393929,8,7
1582395853,11,3
1582397786,37,6
1582399692,35,18
1582401728,28,6
1582403549,18,11
1582405720,24,6
1582407653,26,9
1582409536,28,8
1582411471,26,8
1582413378,19,9
1582415324,17,6
1582417218,13,7
1582419130,11,7
1582421071,13,4
1582422974,19,3
1582424893,9,2
1582427090,13,6
1582429037,19,29
1582430920,13,7
1582432815,14,5
1582434752,14,8
1582436654,22,9
1582438579,10,6
1582440513,11,3
1582442420,16,15
1582444332,14,8
1582446267,11,11
1582448172,25,11
1582450091,24,1
1582452272,20,24
1582454186,17,25
1582456104,18,23
