DateTime,AddedIPs,RemovedIPs
1581476573,62,48
1581478574,70,49
1581480506,38,38
1581482412,36,33
1581484332,15,29
1581486269,27,35
1581488202,28,43
1581490097,16,35
1581492030,28,41
1581493956,30,39
1581495856,11,61
1581497788,10,61
1581499693,10,42
1581501802,8,45
1581503780,17,87
1581505725,35,42
1581507618,48,35
1581509806,39,45
1581511704,36,35
1581513643,61,33
1581515545,46,31
1581517481,47,40
1581519385,45,36
1581521314,50,52
1581523400,57,46
1581525393,52,40
1581527556,100,72
1581529458,34,43
1581531376,25,41
1581533312,25,45
1581535212,37,31
1581537131,39,45
1581539077,36,60
1581541040,35,59
1581542903,40,34
1581544948,43,44
1581546761,46,30
1581548925,56,53
1581550843,29,33
1581552737,25,54
1581554653,32,49
1581556574,36,31
1581558505,48,67
1581560412,51,55
1581562350,42,58
1581564282,53,77
1581566616,51,55
1581568443,42,41
1581570545,56,22
1581572445,38,27
1581574677,54,35
1581576502,41,19
1581578491,37,35
1581580337,32,31
1581582296,59,10
1581584199,71,12
1581586140,61,12
1581588185,72,9
1581590173,46,14
1581592108,44,35
1581594028,26,52
1581595972,25,34
1581597877,33,32
1581599783,21,61
1581601942,23,53
1581603864,25,44
1581605821,28,48
1581607774,66,49
1581609895,25,57
1581611772,62,46
1581613696,40,89
1581615615,49,40
1581617544,28,21
1581619480,20,26
1581621387,30,45
1581623294,24,37
1581625229,32,33
1581627152,31,33
1581629059,19,34
1581630975,17,48
1581632891,22,47
1581635009,30,58
1581636976,29,27
1581638905,30,25
1581640815,30,27
1581642792,22,42
1581644652,26,42
1581646571,16,51
1581648494,27,44
1581650415,17,52
1581652334,28,42
1581654288,25,36
1581656177,34,56
1581658093,29,31
1581660032,25,43
1581661948,30,46
1581663903,31,50
1581665797,34,21
1581667705,41,52
1581669633,54,77
1581671537,23,61
1581673454,42,74
1581675393,41,64
1581677296,29,53
1581679251,58,40
1581681135,37,32
1581683054,44,31
1581684977,49,44
1581686891,33,24
1581688939,60,39
1581690740,54,31
1581692710,52,33
1581694579,52,71
