DateTime,Entries,UniqueIPs
1581476573,2743,2743
1581478574,2764,2764
1581480506,2764,2764
1581482412,2767,2767
1581484332,2753,2753
1581486269,2745,2745
1581488202,2730,2730
1581490097,2711,2711
1581492030,2698,2698
1581493956,2689,2689
1581495856,2639,2639
1581497788,2588,2588
1581499693,2556,2556
1581501802,2519,2519
1581503780,2449,2449
1581505725,2442,2442
1581507618,2455,2455
1581509806,2449,2449
1581511704,2450,2450
1581513643,2478,2478
1581515545,2493,2493
1581517481,2500,2500
1581519385,2509,2509
1581521314,2507,2507
1581523400,2518,2518
1581525393,2530,2530
1581527556,2558,2558
1581529458,2549,2549
1581531376,2533,2533
1581533312,2513,2513
1581535212,2519,2519
1581537131,2513,2513
1581539077,2489,2489
1581541040,2465,2465
1581542903,2471,2471
1581544948,2470,2470
1581546761,2486,2486
1581548925,2489,2489
1581550843,2485,2485
1581552737,2456,2456
1581554653,2439,2439
1581556574,2444,2444
1581558505,2425,2425
1581560412,2421,2421
1581562350,2405,2405
1581564282,2381,2381
1581566616,2377,2377
1581568443,2378,2378
1581570545,2412,2412
1581572445,2423,2423
1581574677,2442,2442
1581576502,2464,2464
1581578491,2466,2466
1581580337,2467,2467
1581582296,2516,2516
1581584199,2575,2575
1581586140,2624,2624
1581588185,2687,2687
1581590173,2719,2719
1581592108,2728,2728
1581594028,2702,2702
1581595972,2693,2693
1581597877,2694,2694
1581599783,2654,2654
1581601942,2624,2624
1581603864,2605,2605
1581605821,2585,2585
1581607774,2602,2602
1581609895,2570,2570
1581611772,2586,2586
1581613696,2537,2537
1581615615,2546,2546
1581617544,2553,2553
1581619480,2547,2547
1581621387,2532,2532
1581623294,2519,2519
1581625229,2518,2518
1581627152,2516,2516
1581629059,2501,2501
1581630975,2470,2470
1581632891,2445,2445
1581635009,2417,2417
1581636976,2419,2419
1581638905,2424,2424
1581640815,2427,2427
1581642792,2407,2407
1581644652,2391,2391
1581646571,2356,2356
1581648494,2339,2339
1581650415,2304,2304
1581652334,2290,2290
1581654288,2279,2279
1581656177,2257,2257
1581658093,2255,2255
1581660032,2237,2237
1581661948,2221,2221
1581663903,2202,2202
1581665797,2215,2215
1581667705,2204,2204
1581669633,2181,2181
1581671537,2143,2143
1581673454,2111,2111
1581675393,2088,2088
1581677296,2064,2064
1581679251,2082,2082
1581681135,2087,2087
1581683054,2100,2100
1581684977,2105,2105
1581686891,2114,2114
1581688939,2135,2135
1581690740,2158,2158
1581692710,2177,2177
1581694579,2158,2158
1581696509,2179,2179
1581698416,2146,2146
1581700339,2132,2132
1581702268,2112,2112
1581704202,2124,2124
