DateTime,AddedIPs,RemovedIPs
1581480507,2,3
1581482413,2,3
1581484333,1,0
1581486270,6,3
1581488203,5,1
1581490097,3,4
1581492031,4,2
1581493957,4,4
1581495857,7,2
1581497789,4,6
1581499694,4,5
1581501808,5,1
1581503780,5,3
1581505726,6,6
1581507619,4,2
1581509807,2,8
1581511704,2,6
1581513643,7,3
1581515564,2,6
1581517482,5,3
1581519385,5,4
1581521314,4,2
1581523408,5,7
1581525393,1,7
1581527556,5,3
1581529459,5,3
1581531376,0,10
1581533313,5,11
1581535212,3,5
1581537132,3,5
1581539078,2,5
1581541041,0,3
1581542903,0,7
1581545000,2,8
1581546976,1,6
1581548926,8,2
1581550844,5,4
1581552737,6,3
1581554654,4,7
1581556575,1,2
1581558506,2,4
1581560413,6,8
1581562351,3,5
1581564282,0,3
1581566616,3,1
1581568444,0,3
1581570545,5,2
1581572446,0,5
1581574677,2,6
1581576503,1,3
1581578492,1,4
1581580338,3,3
1581582297,2,8
1581584199,1,3
1581586141,2,3
1581588186,3,3
1581590174,4,5
1581592108,2,6
1581594028,1,4
1581595973,3,3
1581597878,2,3
1581599785,3,7
1581601943,6,2
1581603866,3,5
1581605821,5,4
1581607774,14,4
1581609914,1,5
1581611772,3,1
1581613697,3,3
1581615616,4,4
1581617545,3,2
1581619483,3,4
1581621388,1,3
1581623295,1,3
1581625229,1,3
1581627153,3,0
1581629059,6,0
1581630976,6,1
1581632891,1,1
1581635065,4,8
1581636977,6,6
1581638905,6,6
1581640816,8,4
1581642803,7,0
1581644667,2,1
1581646572,4,7
1581648495,9,1
1581650416,2,3
1581652335,2,2
1581654289,2,0
1581656178,1,3
1581658093,3,1
1581660043,3,1
1581661949,1,1
1581663912,7,1
1581665797,6,1
1581667706,5,4
1581669643,2,1
1581671537,3,1
1581673455,2,3
1581675393,6,3
1581677296,5,4
1581679251,10,2
1581681136,12,2
1581683054,7,2
1581684977,7,0
1581686892,2,2
1581688960,4,5
1581690971,9,4
1581692912,4,4
1581694827,7,14
1581696735,3,0
1581698654,5,3
1581700653,11,1
1581702498,4,5
1581704425,3,4
1581706338,6,2
1581708256,3,1
1581710211,3,1
1581712119,2,0
1581715953,5,11
1581717777,4,5
1581719774,7,4
1581721748,6,3
1581723616,3,7
1581725798,5,6
1581727694,1,8
1581729627,3,6
1581731532,1,3
1581733452,2,4
1581735387,4,10
1581737294,4,1
1581740181,4,5
1581742129,3,1
1581744021,1,3
1581745935,0,1
1581747873,3,4
1581749781,4,2
1581751959,8,9
1581753918,5,6
1581755794,7,4
1581757712,3,3
1581759875,2,2
1581761801,2,6
1581763745,7,5
1581765623,5,8
1581767555,7,13
1581769476,2,7
1581771382,2,7
1581773301,5,3
1581775484,1,4
1581777392,2,9
1581779324,1,4
1581781246,6,7
1581783193,3,2
1581785064,6,5
1581786984,5,14
1581788920,5,3
1581790849,11,3
1581792751,6,4
1581794697,2,4
1581796599,8,3
1581798505,8,2
1581800732,2,4
1581802855,11,3
1581804987,5,5
1581806903,4,6
1581808817,2,6
1581810748,9,2
1581812674,4,6
1581814586,5,2
1581816498,5,0
1581818705,3,2
1581820597,2,2
1581822518,1,5
1581824444,1,2
1581826347,4,3
1581828324,1,2
1581830187,5,2
1581832103,1,0
1581834031,1,2
1581835945,2,2
1581837872,9,5
1581839789,1,5
1581841697,1,4
1581843878,2,2
1581845776,2,0
1581847718,2,3
1581849621,2,7
1581851544,3,2
1581853485,5,9
1581855384,3,2
1581857562,1,2
1581859471,2,1
1581861387,2,4
1581863294,2,2
1581865409,15,2
1581867374,5,3
1581869323,3,5
1581871221,6,6
1581873138,7,6
1581875073,1,5
1581876975,6,6
1581878896,2,9
1581880828,2,4
1581882731,1,7
1581884666,5,8
1581886589,3,3
1581888492,1,8
1581890510,4,6
1581892348,2,5
1581894202,2,4
1581896171,3,5
1581898119,3,8
1581900020,10,1
1581901940,1,4
1581903875,1,4
1581905780,2,2
1581907696,3,1
1581909626,2,2
1581911542,3,1
1581913457,3,3
1581915410,2,1
1581917294,1,6
1581919373,2,0
1581921373,0,4
1581923183,3,2
1581925016,1,8
1581926917,3,1
1581928833,2,4
1581930775,4,1
1581932696,3,3
1581934627,6,5
1581936519,5,3
1581938439,3,8
1581940341,2,4
1581942275,1,4
1581944209,1,2
1581946126,4,1
1581948365,4,3
1581950179,1,1
1581952143,1,19
1581954039,1,4
1581956003,4,2
1581957878,4,6
1581959785,5,8
1581961727,0,1
1581963646,2,5
1581965541,3,2
1581967484,4,4
1581969403,3,3
1581971303,3,4
1581973488,4,5
1581975388,1,1
1581977360,4,4
1581979221,9,1
1581981145,5,3
1581983082,3,2
1581984986,6,2
1581986919,1,10
1581988827,5,0
1581990780,4,2
1581992683,2,1
1581994574,0,1
1581996505,1,3
1581998598,2,3
1582000595,4,1
1582002547,3,3
1582004414,4,3
1582006358,3,0
1582008253,4,0
1582010207,2,1
1582012128,3,1
1582014027,2,3
1582015937,2,2
1582017907,2,5
1582019773,4,3
1582021689,3,5
1582023768,2,4
1582025792,9,4
1582027691,4,0
1582029611,13,2
1582031556,1,3
1582033454,5,2
1582035373,2,3
1582037324,5,1
1582039211,3,1
1582041130,4,3
1582043107,6,4
1582044999,6,3
1582046895,6,4
1582049020,3,0
1582050991,0,4
1582052909,5,1
1582054819,6,2
1582056751,3,4
1582058653,1,6
1582060605,10,2
1582062497,9,2
1582064441,5,4
1582066397,10,10
1582068277,2,2
1582070227,4,6
1582072158,2,6
1582074351,9,3
1582076195,6,5
1582078118,5,3
1582080020,2,0
1582081955,9,1
1582083865,4,1
1582085797,4,2
1582087716,2,5
1582089621,5,4
1582091536,3,3
1582093475,1,5
1582095387,7,2
1582097296,3,5
1582099397,5,3
1582101401,1,2
1582103312,5,3
1582105239,3,1
1582107145,3,3
1582109068,4,4
1582110987,3,6
1582112915,1,6
1582114832,7,4
1582116744,9,6
1582118676,11,2
1582120627,8,4
1582122543,12,4
1582124599,4,4
1582126578,6,2
1582128510,7,5
1582130415,4,6
1582132363,3,2
1582134269,1,5
1582136177,5,3
1582138094,4,1
1582140045,6,7
1582141934,7,3
1582143863,9,9
1582145788,6,5
1582147691,9,13
1582150883,6,9
1582152749,4,9
1582154667,10,4
1582156569,2,4
1582158499,2,1
1582160649,4,7
1582162615,1,8
1582164515,2,5
1582166435,4,3
1582168343,5,10
1582170256,9,4
1582172180,4,5
1582174104,9,3
1582176031,1,6
1582177940,3,4
1582179875,1,1
1582181810,6,7
1582183734,5,3
1582185888,4,5
1582187776,12,1
1582189713,1,5
1582191620,5,3
1582194757,3,5
1582196696,5,4
1582198576,2,2
1582200513,0,7
1582202427,4,6
1582204336,6,8
1582206272,0,9
1582208180,3,6
1582210104,1,10
1582212057,4,3
1582213938,2,8
1582215859,1,3
1582217796,3,3
1582219700,1,1
1582221882,1,5
1582223776,5,3
1582225960,6,7
1582227856,4,7
1582229777,5,10
1582231716,17,4
1582233618,9,12
1582235549,4,5
1582237470,3,4
1582239371,3,5
1582241292,5,9
1582243446,3,1
1582245422,3,3
1582247310,5,3
1582249217,3,2
1582251148,2,3
1582253058,4,2
1582254978,10,6
1582256915,4,8
1582258813,4,6
1582260747,2,7
