DateTime,AddedIPs,RemovedIPs
1581480511,3,8
1581482420,4,3
1581484338,0,7
1581486278,3,11
1581488207,3,5
1581490104,4,1
1581492036,52,71
1581493963,25,17
1581495862,14,26
1581497794,0,25
1581499701,1,25
1581501921,4,39
1581503784,1,44
1581505730,35,94
1581507623,28,13
1581509816,19,37
1581511708,24,22
1581513647,25,13
1581515568,20,2
1581517491,21,6
1581519389,22,14
1581521318,3,11
1581523454,1,9
1581525397,2,13
1581527560,2,18
1581529466,1,16
1581531393,1,3
1581533318,0,24
1581535223,0,22
1581537139,0,3
1581539082,2,0
1581541046,4,2
1581542907,0,4
1581545109,2,2
1581546984,2,2
1581548931,5,12
1581550847,2,78
1581552741,2,76
1581554658,3,2
1581556578,4,2
1581558510,2,5
1581560417,4,4
1581562355,5,3
1581564286,2,4
1581566622,1,5
1581568452,6,4
1581570551,14,2
1581572450,15,7
1581574686,16,9
1581576511,4,4
1581578497,6,63
1581580348,14,23
1581582307,15,13
1581584204,4,1
1581586146,2,2
1581588233,21,10
1581590179,28,2
1581592113,29,47
1581594072,20,76
1581595976,12,156
1581597887,4,26
1581599795,5,25
1581601957,0,24
1581603872,2,23
1581605828,4,25
1581607789,17,2
1581609988,6,1
1581612018,9,1
1581613962,11,4
1581615859,17,0
1581617779,9,1
1581619728,13,0
1581621617,14,0
1581623536,11,0
1581625459,14,3
1581627379,13,3
1581629296,14,2
1581631423,10,2
1581633379,14,2
1581635331,13,5
1581637230,17,2
1581639179,15,1
1581641064,16,3
1581642998,10,4
1581644900,18,1
1581646843,11,4
1581648760,15,6
1581650662,13,2
1581652636,13,1
1581654525,10,1
1581656714,11,10
1581658640,19,10
1581660502,8,9
1581662426,19,6
1581664346,15,1
1581666264,16,13
1581668246,14,9
1581670136,9,5
1581672043,3,1
1581673937,6,16
1581675858,7,11
1581677826,11,27
1581679697,2,21
1581682606,5,21
1581684496,4,3
1581686444,5,3
1581688367,2,0
1581690269,4,3
1581692193,2,3
1581694120,2,13
1581696290,4,6
1581698182,5,8
1581700207,5,11
1581702059,5,10
1581703945,3,9
1581705878,4,7
1581707791,10,21
1581709711,15,13
1581711690,10,11
1581713567,7,7
1581715457,6,14
1581717399,10,9
1581719307,11,7
1581721561,9,15
1581723379,6,17
1581725334,5,18
1581727232,4,19
1581729146,5,12
1581731079,5,19
1581733036,9,9
1581734909,6,17
1581736832,10,18
1581738742,16,11
1581740722,14,16
1581742597,11,11
1581744510,10,16
1581746538,12,15
1581748367,9,10
1581750271,4,21
1581752209,9,19
1581754093,10,14
1581756023,9,12
1581757958,4,4
1581759880,11,9
1581761805,9,3
1581763750,24,14
1581765628,22,8
1581767560,15,2
1581769481,18,4
1581771385,7,3
1581773304,1,4
1581775490,1,3
1581777397,1,2
1581779327,9,2
1581781249,4,5
1581783198,4,2
1581785067,6,4
1581786987,5,6
1581788947,7,3
1581790864,9,2
1581792755,5,6
1581794700,3,14
1581796604,7,13
1581798508,9,7
1581800737,1,9
1581802869,8,10
1581804990,7,10
1581806907,6,11
1581808821,5,5
1581810752,10,6
1581812679,4,4
1581814602,2,3
1581816502,1,6
1581818726,1,4
1581820601,1,7
1581822560,8,6
1581824447,18,16
1581826351,16,12
1581828330,14,12
1581830191,2,11
1581832108,9,12
1581834034,2,9
1581835949,5,5
1581837875,4,9
1581839792,0,10
1581841701,2,12
1581843885,1,8
1581845780,1,8
1581847721,18,7
1581849627,27,18
1581851548,49,22
1581853489,34,18
1581855387,12,20
1581857566,7,19
1581859474,5,0
1581861391,3,0
1581863297,16,0
1581865506,5,10
1581867378,5,5
1581869326,6,6
1581871243,15,5
1581873144,14,6
1581875078,22,8
1581876979,14,7
1581878900,15,2
1581880832,13,4
1581882736,15,9
1581884671,12,10
1581886593,24,1
1581888498,16,9
1581890688,13,4
1581892575,14,6
1581894519,11,4
1581896417,16,9
1581898338,12,7
1581900274,10,3
1581902176,8,1
1581904096,6,1
1581906028,4,0
1581907932,6,1
1581909857,6,18
1581911788,2,14
1581913709,6,19
1581916580,9,4
1581918500,9,10
1581920445,9,3
1581922337,8,3
1581924272,8,4
1581926194,8,0
1581928118,1,2
1581930162,0,1
1581932172,1,1
1581934139,0,18
1581936022,5,26
1581937940,5,46
1581939870,6,22
1581941786,6,10
1581943698,7,5
1581945674,5,7
1581947575,5,4
1581949460,0,8
1581951397,3,4
1581953300,16,12
1581956433,9,13
1581958341,7,14
1581960285,4,16
1581962200,11,19
1581964099,12,6
1581966317,9,16
1581968198,3,15
1581970099,3,10
1581972021,3,21
1581974215,2,25
1581976109,4,14
1581978057,3,15
1581979946,2,17
1581981863,4,19
1581983835,4,15
1581985725,3,13
1581987949,0,10
1581989824,0,6
1581991970,0,4
1581993861,1,9
1581995787,5,7
1581997738,4,4
1581999620,22,7
1582001537,18,10
1582003486,18,7
1582005379,13,10
1582007300,19,7
1582009490,20,12
1582011433,20,12
1582013335,16,5
1582015224,29,0
1582017166,17,1
1582019060,13,0
1582020995,16,2
1582022921,12,5
1582024816,10,7
1582026772,11,10
1582028710,15,2
1582030576,14,6
1582032515,13,4
1582034688,13,5
1582036628,7,1
1582038519,3,7
1582040420,8,13
