DateTime,AddedIPs,RemovedIPs
1581545422,4,2
1581546633,0,2
1581548132,1,1
1581549264,0,6
1581550943,3,15
1581551779,2,0
1581552856,2,9
1581554548,2,10
1581556456,0,4
1581558149,6,12
1581559825,1,6
1581560897,5,0
1581610221,158,218
1581611296,5,0
1581612153,3,14
1581614060,6,5
1581615655,8,4
1581617036,3,2
1581617659,3,0
1581618918,8,6
1581620023,4,3
1581621263,3,1
1581622095,3,0
1581622951,3,4
1581624858,5,2
1581625698,5,0
1581626546,3,11
1581628225,7,3
1581630137,8,4
1581632055,7,3
1581632900,3,0
1581634031,4,2
1581635659,7,3
1581636924,5,2
1581639260,10,3
1581641107,2,10
1581641782,1,0
1581642858,4,0
1581644437,7,6
1581645651,3,1
1581646823,2,0
1581648140,4,5
1581649821,3,4
1581651740,6,7
1581653659,4,0
1581654921,4,4
1581656331,5,4
1581657256,2,0
1581658938,6,3
1581659777,3,0
1581660858,2,2
1581662119,3,1
1581663937,6,4
1581665298,1,0
1581666136,2,6
1581668060,6,1
1581669324,5,1
1581670598,8,2
1581671665,3,0
1581673336,10,9
1581675262,8,0
1581676354,3,3
1581677717,5,2
1581678923,4,1
1581679701,5,0
1581681053,4,3
1581682223,6,0
1581684139,8,3
1581686060,10,2
1581687635,11,8
1581689661,4,2
1581691236,5,6
1581693018,5,1
1581694223,3,4
1581696053,8,1
1581697215,7,0
1581698719,10,3
1581700456,7,2
1581702135,9,5
1581702979,4,0
1581704123,23,6
1581705354,21,11
1581706517,6,15
1581707660,2,4
1581709340,7,7
1581711259,9,2
1581712098,7,0
1581713777,9,7
1581714858,4,3
1581715700,5,0
1581717012,14,3
1581718221,1,7
1581720141,7,2
1581722061,5,4
1581722897,8,0
1581724235,4,7
1581725383,3,4
1581727338,8,7
1581728896,4,2
1581730099,7,1
1581731457,11,12
1581732627,2,1
1581734542,12,3
1581736230,1,2
1581738138,4,8
1581739822,9,2
1581741033,5,10
1581742217,6,3
1581743429,4,11
1581744624,4,7
1581746179,4,2
1581747257,4,2
1581748098,15,0
1581748943,2,10
1581749777,6,1
1581751700,12,10
1581752845,2,11
1581754457,3,1
1581755942,18,3
1581757856,8,5
1581759028,13,3
1581760340,6,11
1581761723,4,4
1581763344,5,1
1581765026,1,3
1581766941,5,6
1581768619,3,2
1581770542,5,10
1581772460,4,2
1581773299,4,1
1581774503,2,30
1581775825,2,8
1581777739,8,3
1581779419,1,1
1581781335,7,7
1581782176,5,0
1581783314,4,6
1581784098,7,0
1581785720,5,12
1581786918,1,3
1581788436,3,6
1581789377,1,0
1581790521,3,5
1581792141,4,6
1581794057,3,6
1581795316,7,6
1581796579,1,2
1581797722,0,4
1581799341,2,6
1581801327,2,4
1581802097,2,0
1581802940,2,10
1581804859,4,5
1581805998,3,2
1581808356,8,6
1581809718,6,5
1581810977,3,1
1581812058,0,5
1581813740,4,8
1581814576,3,0
1581815656,4,3
1581816495,4,0
1581817612,3,5
1581818838,1,6
1581820221,4,5
1581821781,1,0
1581822927,2,3
1581824720,5,8
1581826458,4,4
1581828139,0,6
1581829826,2,4
1581831738,2,7
1581832577,1,0
1581833721,2,1
1581834916,0,2
1581836176,1,4
1581837338,1,6
1581838534,2,7
1581840859,1,7
1581841698,1,0
1581842540,1,8
1581843376,3,1
1581844524,3,3
1581846035,2,9
1581847253,0,8
1581849735,2,8
1581851668,2,4
1581852496,2,0
1581854176,4,13
1581855338,0,4
1581857423,0,9
1581858618,1,3
1581861648,3,13
1581862833,2,0
1581864142,2,8
1581864980,1,0
1581866094,0,4
1581867631,2,8
1582031656,21,559
1582033341,4,7
1582035258,2,5
1582036935,5,15
1582038146,3,3
1582039825,5,0
1582041298,3,0
1582042459,8,0
1582044135,10,0
1582044975,8,0
1582046056,2,0
1582047735,5,0
1582049028,3,0
1582050499,7,0
1582051897,2,0
1582053261,6,0
1582054369,3,0
1582055540,4,0
1582056856,3,0
1582058539,1,0
1582059388,2,0
1582060458,4,0
1582062136,12,0
1582062981,6,0
1582064059,4,0
1582064896,1,0
1582065745,4,0
1582066855,6,0
1582068495,5,0
1582070121,5,0
1582071318,5,0
1582072096,3,0
1582073776,4,0
1582074856,2,0
1582076545,7,0
1582077882,5,0
1582079117,6,0
1582080319,4,0
1582082055,7,0
1582083318,6,0
1582084939,5,0
1582086498,10,0
1582089261,17,0
1582090838,8,0
1582092339,6,0
1582092856,3,0
1582094556,7,0
1582096224,7,0
1582097428,7,0
1582098917,13,0
1582100056,4,0
1582100900,5,0
1582102184,12,0
1582103421,10,0
1582104530,10,0
1582106198,6,0
1582107258,5,0
1582108945,9,0
1582110859,11,0
1582112377,10,0
1582113382,5,0
1582114522,5,0
1582115652,8,0
1582118055,9,0
1582119752,7,0
1582120593,3,0
1582121723,6,0
1582123349,8,0
1582124777,8,0
1582126198,2,0
1582127403,6,0
1582128855,8,0
1582130009,4,0
1582131316,5,0
1582132456,8,0
1582134151,2,0
1582134976,3,0
1582136121,6,0
1582136904,4,0
1582138221,3,0
1582139658,7,0
1582141354,3,0
1582143255,2,0
1582144095,2,0
1582146859,4,0
1582148343,4,0
1582150520,7,0
1582152155,2,0
1582154057,4,0
1582155751,2,0
1582157661,4,0
1582159373,1,0
1582161021,2,0
1582162096,1,0
