DateTime,AddedIPs,RemovedIPs
1581626524,51,103
1581628207,76,62
1581630124,88,120
1581632043,103,57
1581632883,54,0
1581634012,42,99
1581635645,71,48
1581636904,55,102
1581639243,110,96
1581641092,90,126
1581641766,38,0
1581642843,39,72
1581644418,71,138
1581646803,112,62
1581648124,60,135
1581649804,82,57
1581651724,95,131
1581652830,45,58
1581653645,40,0
1581654904,58,100
1581656318,72,86
1581657243,39,5
1581658924,60,119
1581659764,40,0
1581660843,42,66
1581662104,45,92
1581663923,82,93
1581664443,18,0
1581665284,40,0
1581666123,33,151
1581668045,100,63
1581669304,48,152
1581670584,47,38
1581671643,37,64
1581673324,126,126
1581675245,76,55
1581676341,52,74
1581677704,60,31
1581678904,40,71
1581679684,34,0
1581681040,45,110
1581682206,45,53
1581684126,72,128
1581686045,82,53
1581687617,78,144
1581689643,78,61
1581691217,81,145
1581693004,79,83
1581694205,49,94
1581696026,95,83
1581697203,62,0
1581698704,59,131
1581700443,84,42
1581702124,76,120
1581702964,38,0
1581704103,57,63
1581705340,52,79
1581706504,94,29
1581707644,67,56
1581709325,86,113
1581711243,110,62
1581712084,54,0
1581713764,87,127
1581714844,53,59
1581715684,29,0
1581716995,62,127
1581718204,53,55
1581720124,83,131
1581722046,75,68
1581722883,33,0
1581724222,61,103
1581725367,49,68
1581727324,70,152
1581728883,65,82
1581730083,55,0
1581731444,62,150
1581732603,39,75
1581734523,107,114
1581736212,71,63
1581738125,86,101
1581739805,74,56
1581741006,50,94
1581742203,51,31
1581743404,52,92
1581744605,46,101
1581746164,53,35
1581747243,49,84
1581748084,66,0
1581748924,33,156
1581749764,57,0
1581751685,73,87
1581752832,39,159
1581754444,73,74
1581755929,83,97
1581757837,171,101
1581759004,61,87
1581760327,55,32
1581761706,46,76
1581763325,58,106
1581765004,72,57
1581766926,77,98
1581768603,52,61
1581770523,72,577
1581772444,71,289
1581773283,35,0
1581774487,52,149
1581775804,58,56
1581777723,79,105
1581779403,64,50
1581781323,93,107
1581782164,40,0
1581784083,102,61
1581785703,81,98
1581786903,32,50
1581788417,70,95
1581789364,32,0
1581790503,53,64
1581792125,71,296
1581794043,100,89
1581795303,141,81
1581796565,103,23
1581797705,75,57
1581799326,135,102
1581800163,68,0
1581801303,71,56
1581802084,58,0
1581802924,62,124
1581804844,97,53
1581805980,59,77
1581808335,137,93
1581809703,85,84
1581810963,86,41
1581812043,68,84
1581813723,124,95
1581814563,72,0
1581815643,58,62
1581816483,49,0
1581817599,63,127
1581818818,70,68
1581820203,62,112
1581820923,30,26
1581821766,48,0
1581822907,56,57
1581824704,90,109
1581826444,65,75
1581827284,40,0
1581828124,33,98
1581829806,63,60
1581831724,105,111
1581832564,36,0
1581833707,44,52
1581834903,51,79
1581836163,158,34
1581837307,104,58
1581838513,118,87
1581839771,59,21
1581840843,37,78
1581841684,45,0
1581842525,35,103
1581843364,39,1
1581844506,65,101
1581846017,67,100
1581847225,46,66
1581848046,35,0
1581849724,76,83
1581851655,96,39
1581852483,84,1
1581854163,151,94
1581855307,100,41
1581856083,61,0
1581857405,89,107
1581858604,59,48
1581859705,68,1
1581861624,86,162
1581862818,67,0
1581864123,65,124
1581864966,48,0
1581866081,55,69
1581867616,70,114
1581869402,0,17929
1582023362,4891,0
1582024504,464,740
1582026124,465,516
1582026964,226,0
1582028105,255,217
1582029293,264,287
1582029723,93,111
1582030564,198,2
1582031643,229,179
1582033323,296,394
1582034164,208,1
1582035243,188,297
1582036923,312,778
1582038126,251,245
1582039805,322,0
1582041285,254,1
1582042443,228,0
1582044123,350,1
1582044963,185,0
1582046043,204,2
1582047723,323,3
1582049016,213,0
1582050484,250,2
1582051884,231,3
1582053243,242,1
1582054356,195,0
1582055526,168,4
1582056843,187,0
1582058524,224,0
1582059366,100,0
1582060444,139,0
1582062124,199,0
1582062963,91,0
1582064045,113,0
1582064883,99,0
1582065724,69,0
1582066827,109,0
1582068483,175,0
1582070105,134,0
1582071303,122,0
1582072083,86,0
1582073764,168,0
1582074843,114,1
1582076523,160,0
1582077869,127,1
1582079103,104,1
1582080304,90,1
1582082043,156,1
1582083304,123,0
1582084916,133,1
1582086483,152,1
1582089245,236,0
1582090818,138,1
1582092325,117,0
1582092844,42,1
1582094537,143,0
1582096204,152,2
1582097407,96,0
1582098904,111,0
1582100043,87,1
1582100886,52,1
1582102172,87,1
1582103404,90,0
1582104517,94,0
1582106164,121,1
1582107244,81,2
1582108924,103,1
1582110845,158,2
1582112364,101,0
1582113364,82,0
1582114504,80,0
1582115636,96,1
1582118043,187,1
1582119726,110,2
1582120563,45,1
1582121704,83,0
1582123324,98,1
1582124761,94,3
1582126185,124,0
1582127389,91,0
1582128843,122,0
1582129996,132,1
1582131304,136,1
1582132443,113,1
1582134124,165,1
1582134963,65,0
1582136106,92,2
1582136885,44,0
1582138206,77,0
1582139644,102,0
1582141326,98,0
1582142171,37,1
1582143243,67,1
1582144082,67,0
1582146843,183,1
1582148331,78,1
1582150505,136,0
1582152125,130,0
1582154044,157,0
1582154883,67,0
1582155725,52,2
1582157645,129,0
1582159342,96,1
1582161003,113,0
1582162083,73,0
1582163703,96,0
1582164906,50,2
1582166103,75,0
1582168204,110,1
1582168443,16,0
1582169283,30,0
1582170903,66,1
1582172107,68,2
1582173621,84,1
1582175704,95,0
1582176483,39,0
1582177327,30,1
1582179244,95,0
1582180758,65,0
1582181774,32,1
1582182903,51,0
1582184610,59,3
1582185364,31,2
1582186506,54,0
1582187704,49,0
1582188964,56,0
1582190105,42,0
1582192828,106,25
1582194003,38,2
1582195220,73,116
1582197559,97,70
1582198939,70,117
1582200843,87,66
1582202525,67,121
1582204445,89,72
1582206125,81,119
1582206963,30,0
1582208066,62,64
1582209624,70,132
1582211310,86,68
1582212779,53,74
1582214103,60,29
1582215243,52,68
1582216504,53,106
1582217862,50,36
1582219206,67,63
1582220524,54,101
1582221997,82,86
1582223204,58,2
1582224324,32,140
1582226044,86,76
1582228057,123,129
1582229643,71,67
1582230810,35,93
1582233243,251,104
1582234339,143,67
1582235763,103,36
1582236903,79,49
1582237683,42,4
1582238955,54,113
1582240202,66,44
1582241405,45,86
1582244043,119,83
1582245304,60,94
1582247643,112,101
1582249327,54,102
1582250753,58,68
1582252204,60,108
1582252925,41,25
1582253764,39,0
1582254844,61,69
1582256525,107,142
1582257363,47,2
1582258442,58,57
1582260021,74,139
1582262044,92,70
1582262883,44,0
1582264224,54,137
1582265403,51,63
1582267323,77,131
1582269003,49,58
1582270205,44,104
1582271767,60,27
1582272904,53,69
1582274315,42,104
1582276204,58,78
1582276444,14,1
1582277926,63,98
1582278966,54,30
1582280043,59,67
1582280883,47,0
1582282503,92,124
1582283705,54,86
1582284904,42,117
1582286151,56,42
1582287243,75,71
1582288084,40,1
1582288928,31,122
1582290843,77,56
1582292531,91,135
1582293368,35,0
1582294504,56,81
1582296453,96,193
1582297803,65,73
1582298938,42,1
1582300105,50,157
1582301403,55,77
1582301643,12,0
1582303325,70,148
1582305244,87,73
1582306643,76,112
1582307801,65,30
1582308844,58,61
1582309683,48,1
1582311004,78,107
1582312443,78,53
1582314021,73,98
1582316043,81,60
1582317616,79,149
1582319323,87,64
1582319644,12,0
1582321340,62,157
1582322164,33,2
1582323276,45,84
1582324930,87,147
1582326603,88,67
1582327684,45,0
1582328989,62,126
1582330207,72,67
1582331285,59,0
1582333397,106,202
1582335007,65,97
1582336564,65,34
1582337644,51,64
1582339326,74,90
1582340514,78,55
1582342205,81,98
1582342924,31,34
1582344607,66,57
1582346524,88,98
1582347133,21,0
1582348504,69,56
1582350124,83,110
1582351223,36,42
1582352884,71,0
1582353724,46,89
1582355403,71,56
1582356606,41,77
1582358168,65,21
1582359242,50,63
1582361102,62,93
1582362904,68,55
1582364103,47,76
1582365210,49,42
1582366504,56,65
1582367283,37,1
1582368903,73,107
1582370044,44,57
1582371306,60,84
1582372503,58,32
1582373703,46,53
1582374903,52,61
1582376593,81,91
1582378083,55,2
1582378923,35,103
1582379763,29,0
1582380843,36,77
1582382523,54,103
1582384443,63,62
1582386019,46,111
1582386963,28,0
1582388105,40,49
1582389905,80,102
1582390562,29,2
1582391702,50,62
1582393324,67,106
1582395004,75,69
1582396205,61,87
1582397703,73,53
1582398843,41,87
1582400417,65,91
1582402443,85,88
1582404123,66,197
1582405803,85,66
1582407007,56,94
1582408202,62,27
1582409403,41,67
1582409643,7,0
1582410483,33,0
1582412164,73,98
1582413304,43,68
1582415529,119,106
1582416844,67,65
1582418418,81,81
1582420203,86,49
1582422125,92,106
1582422964,26,0
1582424103,44,77
1582425303,46,77
1582426526,41,31
1582427643,40,83
1582429220,43,111
1582431008,75,54
1582432925,80,115
1582433775,21,0
1582434843,41,42
1582436418,58,97
1582437597,51,38
1582438443,35,4
1582439676,42,71
1582441405,52,62
1582443007,68,60
1582445645,84,80
1582446483,35,0
1582448656,79,151
1582450203,72,80
1582450923,28,29
1582452604,90,59
1582454367,120,84
1582456443,104,89
