DateTime,Entries,UniqueIPs
1581626524,27091,27091
1581628207,27105,27105
1581630124,27073,27073
1581632043,27119,27119
1581632883,27173,27173
1581634012,27116,27116
1581635645,27139,27139
1581636904,27092,27092
1581639243,27106,27106
1581641092,27070,27070
1581641766,27108,27108
1581642843,27075,27075
1581644418,27008,27008
1581646803,27058,27058
1581648124,26983,26983
1581649804,27008,27008
1581651724,26972,26972
1581652830,26959,26959
1581653645,26999,26999
1581654904,26957,26957
1581656318,26943,26943
1581657243,26977,26977
1581658924,26918,26918
1581659764,26958,26958
1581660843,26934,26934
1581662104,26887,26887
1581663923,26876,26876
1581664443,26894,26894
1581665284,26934,26934
1581666123,26816,26816
1581668045,26853,26853
1581669304,26749,26749
1581670584,26758,26758
1581671643,26731,26731
1581673324,26731,26731
1581675245,26752,26752
1581676341,26730,26730
1581677704,26759,26759
1581678904,26728,26728
1581679684,26762,26762
1581681040,26697,26697
1581682206,26689,26689
1581684126,26633,26633
1581686045,26662,26662
1581687617,26596,26596
1581689643,26613,26613
1581691217,26549,26549
1581693004,26545,26545
1581694205,26500,26500
1581696026,26512,26512
1581697203,26574,26574
1581698704,26502,26502
1581700443,26544,26544
1581702124,26500,26500
1581702964,26538,26538
1581704103,26532,26532
1581705340,26505,26505
1581706504,26570,26570
1581707644,26581,26581
1581709325,26554,26554
1581711243,26602,26602
1581712084,26656,26656
1581713764,26616,26616
1581714844,26610,26610
1581715684,26639,26639
1581716995,26574,26574
1581718204,26572,26572
1581720124,26524,26524
1581722046,26531,26531
1581722883,26564,26564
1581724222,26522,26522
1581725367,26503,26503
1581727324,26421,26421
1581728883,26404,26404
1581730083,26459,26459
1581731444,26371,26371
1581732603,26335,26335
1581734523,26328,26328
1581736212,26336,26336
1581738125,26321,26321
1581739805,26339,26339
1581741006,26295,26295
1581742203,26315,26315
1581743404,26275,26275
1581744605,26220,26220
1581746164,26238,26238
1581747243,26203,26203
1581748084,26269,26269
1581748924,26146,26146
1581749764,26203,26203
1581751685,26189,26189
1581752832,26069,26069
1581754444,26068,26068
1581755929,26054,26054
1581757837,26124,26124
1581759004,26098,26098
1581760327,26121,26121
1581761706,26091,26091
1581763325,26043,26043
1581765004,26058,26058
1581766926,26037,26037
1581768603,26028,26028
1581770523,25523,25523
1581772444,25305,25305
1581773283,25340,25340
1581774487,25243,25243
1581775804,25245,25245
1581777723,25219,25219
1581779403,25233,25233
1581781323,25219,25219
1581782164,25259,25259
1581784083,25300,25300
1581785703,25283,25283
1581786903,25265,25265
1581788417,25240,25240
1581789364,25272,25272
1581790503,25261,25261
1581792125,25036,25036
1581794043,25047,25047
1581795303,25107,25107
1581796565,25187,25187
1581797705,25205,25205
1581799326,25238,25238
1581800163,25306,25306
1581801303,25321,25321
1581802084,25379,25379
1581802924,25317,25317
1581804844,25361,25361
1581805980,25343,25343
1581808335,25387,25387
1581809703,25388,25388
1581810963,25433,25433
1581812043,25417,25417
1581813723,25446,25446
1581814563,25518,25518
1581815643,25514,25514
1581816483,25563,25563
1581817599,25499,25499
1581818818,25501,25501
1581820203,25451,25451
1581820923,25455,25455
1581821766,25503,25503
1581822907,25502,25502
1581824704,25483,25483
1581826444,25473,25473
1581827284,25513,25513
1581828124,25448,25448
1581829806,25451,25451
1581831724,25445,25445
1581832564,25481,25481
1581833707,25473,25473
1581834903,25445,25445
1581836163,25569,25569
1581837307,25615,25615
1581838513,25646,25646
1581839771,25684,25684
1581840843,25643,25643
1581841684,25688,25688
1581842525,25620,25620
1581843364,25658,25658
1581844506,25622,25622
1581846017,25589,25589
1581847225,25569,25569
1581848046,25604,25604
1581849724,25597,25597
1581851655,25654,25654
1581852483,25737,25737
1581854163,25794,25794
1581855307,25853,25853
1581856083,25914,25914
1581857405,25896,25896
1581858604,25907,25907
1581859705,25974,25974
1581861624,25898,25898
1581862818,25965,25965
1581864123,25906,25906
1581864966,25954,25954
1581866081,25940,25940
1581867616,25896,25896
1581869402,7967,7967
1582023362,12858,12858
1582024504,12582,12582
1582026124,12531,12531
1582026964,12757,12757
1582028105,12795,12795
1582029293,12772,12772
1582029723,12754,12754
1582030564,12950,12950
1582031643,13000,13000
1582033323,12902,12902
1582034164,13109,13109
1582035243,13000,13000
1582036923,12534,12534
1582038126,12540,12540
1582039805,12862,12862
1582041285,13115,13115
1582042443,13343,13343
1582044123,13692,13692
1582044963,13877,13877
1582046043,14079,14079
1582047723,14399,14399
1582049016,14612,14612
1582050484,14860,14860
1582051884,15088,15088
1582053243,15329,15329
1582054356,15524,15524
1582055526,15688,15688
1582056843,15875,15875
1582058524,16099,16099
1582059366,16199,16199
1582060444,16338,16338
1582062124,16537,16537
1582062963,16628,16628
1582064045,16741,16741
1582064883,16840,16840
1582065724,16909,16909
1582066827,17018,17018
1582068483,17193,17193
1582070105,17327,17327
1582071303,17449,17449
1582072083,17535,17535
1582073764,17703,17703
1582074843,17816,17816
1582076523,17976,17976
1582077869,18102,18102
1582079103,18205,18205
1582080304,18294,18294
1582082043,18449,18449
1582083304,18572,18572
1582084916,18704,18704
1582086483,18855,18855
1582089245,19091,19091
1582090818,19228,19228
1582092325,19345,19345
1582092844,19386,19386
1582094537,19529,19529
1582096204,19679,19679
1582097407,19775,19775
1582098904,19886,19886
1582100043,19972,19972
1582100886,20023,20023
1582102172,20109,20109
1582103404,20199,20199
1582104517,20293,20293
1582106164,20413,20413
1582107244,20492,20492
1582108924,20594,20594
1582110845,20750,20750
1582112364,20851,20851
1582113364,20933,20933
1582114504,21013,21013
1582115636,21108,21108
1582118043,21294,21294
1582119726,21402,21402
1582120563,21446,21446
1582121704,21529,21529
1582123324,21626,21626
1582124761,21717,21717
1582126185,21841,21841
1582127389,21932,21932
1582128843,22054,22054
1582129996,22185,22185
1582131304,22320,22320
1582132443,22432,22432
1582134124,22596,22596
1582134963,22661,22661
1582136106,22751,22751
1582136885,22795,22795
1582138206,22872,22872
1582139644,22974,22974
1582141326,23072,23072
1582142171,23108,23108
1582143243,23174,23174
1582144082,23241,23241
1582146843,23423,23423
1582148331,23500,23500
1582150505,23636,23636
1582152125,23766,23766
1582154044,23923,23923
1582154883,23990,23990
1582155725,24040,24040
1582157645,24169,24169
1582159342,24264,24264
1582161003,24377,24377
1582162083,24450,24450
1582163703,24546,24546
1582164906,24594,24594
1582166103,24669,24669
1582168204,24778,24778
1582168443,24794,24794
1582169283,24824,24824
1582170903,24889,24889
1582172107,24955,24955
1582173621,25038,25038
1582175704,25133,25133
1582176483,25172,25172
1582177327,25201,25201
1582179244,25296,25296
1582180758,25361,25361
1582181774,25392,25392
1582182903,25443,25443
1582184610,25499,25499
1582185364,25528,25528
1582186506,25582,25582
1582187704,25631,25631
1582188964,25687,25687
1582190105,25729,25729
1582192828,25810,25810
1582194003,25846,25846
1582195220,25803,25803
1582197559,25830,25830
1582198939,25783,25783
1582200843,25804,25804
1582202525,25750,25750
1582204445,25767,25767
1582206125,25729,25729
1582206963,25759,25759
1582208066,25757,25757
1582209624,25695,25695
1582211310,25713,25713
1582212779,25692,25692
1582214103,25723,25723
1582215243,25707,25707
1582216504,25654,25654
1582217862,25668,25668
1582219206,25672,25672
1582220524,25625,25625
1582221997,25621,25621
1582223204,25677,25677
1582224324,25569,25569
1582226044,25579,25579
1582228057,25573,25573
1582229643,25577,25577
1582230810,25519,25519
1582233243,25666,25666
1582234339,25742,25742
1582235763,25809,25809
1582236903,25839,25839
1582237683,25877,25877
1582238955,25818,25818
1582240202,25840,25840
1582241405,25799,25799
1582244043,25835,25835
1582245304,25801,25801
1582247643,25812,25812
1582249327,25764,25764
1582250753,25754,25754
1582252204,25706,25706
1582252925,25722,25722
1582253764,25761,25761
1582254844,25753,25753
1582256525,25718,25718
1582257363,25763,25763
1582258442,25764,25764
1582260021,25699,25699
1582262044,25721,25721
1582262883,25765,25765
1582264224,25682,25682
1582265403,25670,25670
1582267323,25616,25616
1582269003,25607,25607
1582270205,25547,25547
1582271767,25580,25580
1582272904,25564,25564
1582274315,25502,25502
1582276204,25482,25482
1582276444,25495,25495
1582277926,25460,25460
1582278966,25484,25484
1582280043,25476,25476
1582280883,25523,25523
1582282503,25491,25491
1582283705,25459,25459
1582284904,25384,25384
1582286151,25398,25398
1582287243,25402,25402
1582288084,25441,25441
1582288928,25350,25350
1582290843,25371,25371
1582292531,25327,25327
1582293368,25362,25362
1582294504,25337,25337
1582296453,25240,25240
1582297803,25232,25232
1582298938,25273,25273
1582300105,25166,25166
1582301403,25144,25144
1582301643,25156,25156
1582303325,25078,25078
1582305244,25092,25092
1582306643,25056,25056
1582307801,25091,25091
1582308844,25088,25088
1582309683,25135,25135
1582311004,25106,25106
1582312443,25131,25131
1582314021,25106,25106
1582316043,25127,25127
1582317616,25057,25057
1582319323,25080,25080
1582319644,25092,25092
1582321340,24997,24997
1582322164,25028,25028
1582323276,24989,24989
1582324930,24929,24929
1582326603,24950,24950
1582327684,24995,24995
1582328989,24931,24931
1582330207,24936,24936
1582331285,24995,24995
1582333397,24899,24899
1582335007,24867,24867
1582336564,24898,24898
1582337644,24885,24885
1582339326,24869,24869
1582340514,24892,24892
1582342205,24875,24875
1582342924,24872,24872
1582344607,24881,24881
1582346524,24871,24871
1582347133,24892,24892
1582348504,24905,24905
1582350124,24878,24878
1582351223,24872,24872
1582352884,24943,24943
1582353724,24900,24900
1582355403,24915,24915
1582356606,24879,24879
1582358168,24923,24923
1582359242,24910,24910
1582361102,24879,24879
1582362904,24892,24892
1582364103,24863,24863
1582365210,24870,24870
1582366504,24861,24861
1582367283,24897,24897
1582368903,24863,24863
1582370044,24850,24850
1582371306,24826,24826
1582372503,24852,24852
1582373703,24845,24845
1582374903,24836,24836
1582376593,24826,24826
1582378083,24879,24879
1582378923,24811,24811
1582379763,24840,24840
1582380843,24799,24799
1582382523,24750,24750
1582384443,24751,24751
1582386019,24686,24686
1582386963,24714,24714
1582388105,24705,24705
1582389905,24683,24683
1582390562,24710,24710
1582391702,24698,24698
1582393324,24659,24659
1582395004,24665,24665
1582396205,24639,24639
1582397703,24659,24659
1582398843,24613,24613
1582400417,24587,24587
1582402443,24584,24584
1582404123,24453,24453
1582405803,24472,24472
1582407007,24434,24434
1582408202,24469,24469
1582409403,24443,24443
1582409643,24450,24450
1582410483,24483,24483
1582412164,24458,24458
1582413304,24433,24433
1582415529,24446,24446
1582416844,24448,24448
1582418418,24448,24448
1582420203,24485,24485
1582422125,24471,24471
1582422964,24497,24497
1582424103,24464,24464
1582425303,24433,24433
1582426526,24443,24443
1582427643,24400,24400
1582429220,24332,24332
1582431008,24353,24353
1582432925,24318,24318
1582433775,24339,24339
1582434843,24338,24338
1582436418,24299,24299
1582437597,24312,24312
1582438443,24343,24343
1582439676,24314,24314
1582441405,24304,24304
1582443007,24312,24312
1582445645,24316,24316
1582446483,24351,24351
1582448656,24279,24279
1582450203,24271,24271
1582450923,24270,24270
1582452604,24301,24301
1582454367,24337,24337
1582456443,24352,24352
