DateTime,Entries,UniqueIPs
1581615643,1335,1335
1581617025,1328,1328
1581617656,1330,1330
1581618914,1321,1321
1581620019,1296,1296
1581621259,1293,1293
1581622091,1300,1300
1581622939,1322,1322
1581624854,1319,1319
1581625693,1321,1321
1581626537,1310,1310
1581628220,1304,1304
1581630132,1296,1296
1581632051,1299,1299
1581632896,1307,1307
1581634021,1294,1294
1581635655,1296,1296
1581636920,1290,1290
1581639255,1285,1285
1581641102,1266,1266
1581641778,1272,1272
1581642853,1269,1269
1581644432,1267,1267
1581645640,1260,1260
1581646819,1260,1260
1581648136,1250,1250
1581649816,1248,1248
1581651736,1259,1259
1581653655,1257,1257
1581654917,1245,1245
1581656327,1240,1240
1581657251,1243,1243
1581658934,1236,1236
1581659773,1236,1236
1581660854,1232,1232
1581662114,1229,1229
1581663932,1230,1230
1581664453,1232,1232
1581665294,1232,1232
1581666132,1217,1217
1581668056,1232,1232
1581669319,1229,1229
1581670594,1235,1235
1581671660,1231,1231
1581673333,1229,1229
1581675258,1229,1229
1581676350,1224,1224
1581677713,1224,1224
1581678918,1225,1225
1581679697,1228,1228
1581681049,1217,1217
1581682218,1214,1214
1581684135,1207,1207
1581686056,1214,1214
1581687631,1209,1209
1581689657,1207,1207
1581691231,1203,1203
1581693015,1203,1203
1581694214,1208,1208
1581696040,1213,1213
1581697211,1226,1226
1581698714,1216,1216
1581700452,1213,1213
1581702127,1215,1215
1581702975,1219,1219
1581704116,1211,1211
1581705350,1197,1197
1581706514,1200,1200
1581707656,1193,1193
1581709336,1184,1184
1581711255,1179,1179
1581712094,1188,1188
1581713773,1173,1173
1581714854,1170,1170
1581715695,1177,1177
1581717004,1162,1162
1581718217,1167,1167
1581720137,1155,1155
1581722057,1158,1158
1581722893,1163,1163
1581724231,1154,1154
1581725379,1152,1152
1581727333,1141,1141
1581728892,1146,1146
1581730095,1152,1152
1581731453,1136,1136
1581732623,1137,1137
1581734537,1132,1132
1581736225,1142,1142
1581738133,1148,1148
1581739818,1148,1148
1581741022,1147,1147
1581742212,1151,1151
1581743425,1141,1141
1581744619,1139,1139
1581746174,1141,1141
1581747253,1136,1136
1581748094,1137,1137
1581748938,1120,1120
1581749774,1129,1129
1581751696,1133,1133
1581752841,1125,1125
1581754453,1122,1122
1581755939,1101,1101
1581757852,1100,1100
1581759020,1084,1084
1581760336,1087,1087
1581761719,1086,1086
1581763340,1075,1075
1581765022,1076,1076
1581766937,1070,1070
1581768615,1062,1062
1581770538,1027,1027
1581772457,1020,1020
1581773295,1024,1024
1581774498,1020,1020
1581775822,1026,1026
1581777735,1033,1033
1581779415,1036,1036
1581781332,1026,1026
1581782173,1030,1030
1581784094,1031,1031
1581785716,1040,1040
1581786914,1036,1036
1581788432,1043,1043
1581789373,1047,1047
1581790516,1045,1045
1581792137,1050,1050
1581794053,1050,1050
1581795312,1050,1050
1581796575,1052,1052
1581797718,1062,1062
1581799337,1062,1062
1581800173,1065,1065
1581801320,1075,1075
1581802093,1081,1081
1581802936,1076,1076
1581804855,1079,1079
1581805995,1080,1080
1581808351,1089,1089
1581809713,1095,1095
1581810973,1099,1099
1581812054,1092,1092
1581813736,1096,1096
1581814572,1099,1099
1581815652,1099,1099
1581816492,1106,1106
1581817608,1095,1095
1581818834,1093,1093
1581820214,1081,1081
1581820934,1079,1079
1581821777,1084,1084
1581822921,1090,1090
1581824715,1088,1088
1581826454,1088,1088
1581827293,1095,1095
1581828135,1095,1095
1581829822,1101,1101
1581831734,1100,1100
1581832573,1101,1101
1581833717,1105,1105
1581834912,1106,1106
1581836172,1115,1115
1581837334,1117,1117
1581838530,1112,1112
1581839780,1118,1118
1581840855,1120,1120
1581841694,1128,1128
1581842536,1120,1120
1581843372,1122,1122
1581844520,1126,1126
1581846031,1129,1129
1581847245,1127,1127
1581848057,1133,1133
1581851664,1129,1129
1581852493,1131,1131
1581854172,1130,1130
1581855317,1136,1136
1581856093,1141,1141
1581857418,1126,1126
1581858615,1115,1115
1581859713,1123,1123
1581861638,1114,1114
1581862829,1142,1142
1581864138,1141,1141
1581864976,1144,1144
1581866090,1139,1139
1581867627,1121,1121
1582031653,291,291
1582033337,276,276
1582034176,297,297
1582035254,283,283
1582036932,257,257
1582038140,257,257
1582039816,273,273
1582041293,293,293
1582042454,298,298
1582044131,309,309
1582044971,318,318
