DateTime,AddedIPs,RemovedIPs
1581540141,1,2
1581542422,2,1
1581543619,0,1
1581545419,1,3
1581546619,1,0
1581548129,0,1
1581550941,1,1
1581551776,2,1
1581552853,1,0
1581554543,1,1
1581556453,2,0
1581558142,1,1
1581559822,3,0
1581560893,3,0
1581601243,1075,15
1581603253,360,88
1581604942,0,41
1581605777,1,17
1581606855,0,13
1581607700,2,11
1581608813,1,19
1581610217,0,16
1581612144,0,23
1581614058,0,16
1581615647,1,14
1581617029,2,9
1581617657,0,9
1581618915,0,19
1581620020,1,12
1581621260,0,20
1581622092,1,36
1581622943,0,23
1581624856,2,29
1581625694,1,8
1581626541,1,6
1581628221,3,11
1581630134,1,19
1581632052,2,21
1581632897,2,3
1581634025,0,7
1581635656,2,13
1581636921,1,12
1581639256,4,13
1581641103,2,14
1581641779,1,2
1581642855,1,8
1581644433,0,20
1581645644,0,12
1581646820,0,1
1581648137,0,6
1581649818,5,10
1581651737,0,11
1581653656,1,11
1581654919,0,6
1581656328,2,4
1581657252,2,4
1581658935,1,4
1581659774,1,2
1581660855,1,7
1581662115,1,7
1581663933,2,12
1581664454,2,4
1581665295,2,6
1581666133,0,2
1581668057,2,8
1581669320,0,6
1581670595,1,4
1581671661,3,4
1581673334,1,10
1581675259,1,6
1581676351,0,7
1581677714,2,4
1581678919,0,4
1581679698,1,1
1581681050,0,7
1581682219,0,4
1581684136,1,6
1581686057,0,10
1581687632,1,6
1581689658,1,3
1581691232,0,5
1581693016,0,4
1581694216,0,2
1581696046,0,4
1581697212,0,2
1581698715,0,3
1581700453,1,2
1581702131,3,4
1581702976,2,4
1581704118,0,1
1581705352,1,9
1581706515,3,9
1581707657,2,9
1581709337,0,8
1581711256,1,9
1581712095,0,3
1581713774,1,8
1581714855,1,4
1581715696,0,1
1581717006,0,7
1581718218,0,6
1581720138,2,4
1581722058,4,2
1581722894,1,2
1581724232,1,5
1581725380,5,2
1581727334,0,4
1581728893,0,5
1581730096,1,1
1581731454,2,6
1581732624,1,1
1581734538,1,3
1581736226,1,4
1581738135,1,4
1581739819,1,5
1581741027,0,1
1581742213,1,3
1581743426,0,2
1581744622,1,1
1581746176,1,4
1581747254,1,0
1581748095,1,1
1581748939,2,3
1581749775,1,4
1581751698,0,3
1581752842,1,2
1581754454,0,2
1581757853,4,4
1581759024,0,3
1581760337,2,2
1581761721,1,0
1581763341,0,1
1581765023,1,0
1581766938,2,2
1581768616,2,1
1581770539,2,392
1581772458,2,209
1581773296,0,1
1581774500,0,1
1581775823,1,0
1581777736,0,2
1581779416,1,0
