DateTime,AddedIPs,RemovedIPs
1581612132,70,69
1581614049,57,40
1581615635,45,44
1581617017,44,46
1581617650,15,0
1581618909,59,64
1581620015,43,23
1581621253,51,46
1581622087,146,0
1581622930,49,75
1581624849,72,37
1581625688,26,1
1581626530,45,65
1581628215,52,36
1581630128,73,69
1581632047,96,34
1581632888,38,1
1581634017,35,52
1581635650,55,29
1581636909,42,59
1581639249,68,66
1581641096,75,79
1581641772,24,1
1581642849,35,53
1581644424,59,99
1581645632,48,47
1581646808,34,0
1581648130,43,73
1581649809,60,40
1581651732,69,85
1581653651,73,41
1581654910,45,59
1581656323,59,59
1581657247,31,6
1581658929,46,77
1581659769,30,1
1581660848,30,45
1581662109,32,68
1581663928,60,66
1581664448,16,3
1581665288,33,1
1581666128,22,111
1581668050,64,52
1581669311,30,122
1581670589,31,22
1581671652,21,45
1581673328,104,88
1581675250,49,40
1581676346,32,43
1581677708,26,20
1581678912,24,48
1581679689,22,1
1581681045,33,68
1581682211,21,37
1581684130,42,92
1581686050,48,33
1581687625,40,82
1581689649,44,31
1581691223,43,80
1581693010,41,62
1581694210,24,53
1581696031,47,53
1581698710,55,96
1581700447,47,31
1581702968,68,88
1581704108,34,53
1581705346,40,55
1581706509,93,23
1581707652,56,36
1581709331,63,69
1581711248,75,32
1581712088,33,3
1581713769,63,77
1581714849,36,34
1581715690,17,3
1581717000,40,82
1581718209,43,40
1581720131,46,79
1581722052,44,44
1581722888,21,7
1581724227,45,61
1581725371,30,50
1581727328,40,85
1581728888,38,60
1581730089,26,4
1581731448,40,95
1581732618,26,55
1581734527,56,78
1581736217,52,48
1581738129,48,68
1581739810,41,38
1581741014,30,58
1581742208,34,21
1581743419,23,58
1581744611,26,64
1581746170,42,26
1581747248,20,59
1581748088,32,6
1581748930,18,90
1581749769,31,5
1581751692,39,42
1581752837,21,98
1581754449,48,46
1581755934,47,57
1581757842,127,63
1581759011,38,65
1581760332,40,24
1581761712,30,49
1581763335,28,64
1581765018,41,31
1581766931,45,51
1581768608,29,37
1581770528,44,113
1581772451,52,53
1581773288,22,4
1581774493,25,80
1581775817,37,37
1581777730,41,71
1581779408,35,33
1581781328,51,66
1581782168,20,2
1581784089,68,42
1581785708,51,71
1581786908,22,29
1581788423,41,56
1581789369,17,1
1581790509,29,42
1581792130,36,267
1581794048,73,37
1581795308,113,52
1581796570,80,13
1581797711,56,37
1581799332,103,71
1581800168,40,0
1581801314,50,41
1581802089,48,0
1581802929,48,88
1581804851,63,33
1581805986,46,42
1581808344,96,59
1581809708,49,50
1581810968,54,35
1581812048,46,54
1581813728,79,65
1581814568,55,0
1581815648,46,46
1581816487,39,0
1581817604,44,86
1581818823,44,47
1581820209,36,69
1581820928,22,17
1581821772,27,0
1581822913,41,45
1581824709,73,70
1581826449,40,59
1581827289,19,2
1581828130,20,73
1581829818,42,43
1581831730,63,73
1581832569,26,1
