DateTime,Entries,UniqueIPs
1581612132,13048,13048
1581614049,13065,13065
1581615635,13066,13066
1581617017,13064,13064
1581617650,13079,13079
1581618909,13074,13074
1581620015,13094,13094
1581621253,13099,13099
1581622087,13245,13245
1581622930,13219,13219
1581624849,13254,13254
1581625688,13279,13279
1581626530,13259,13259
1581628215,13275,13275
1581630128,13279,13279
1581632047,13341,13341
1581632888,13378,13378
1581634017,13361,13361
1581635650,13387,13387
1581636909,13370,13370
1581639249,13372,13372
1581641096,13368,13368
1581641772,13391,13391
1581642849,13373,13373
1581644424,13333,13333
1581645632,13334,13334
1581646808,13368,13368
1581648130,13338,13338
1581649809,13358,13358
1581651732,13342,13342
1581653651,13374,13374
1581654910,13360,13360
1581656323,13360,13360
1581657247,13385,13385
1581658929,13354,13354
1581659769,13383,13383
1581660848,13368,13368
1581662109,13332,13332
1581663928,13326,13326
1581664448,13339,13339
1581665288,13371,13371
1581666128,13282,13282
1581668050,13294,13294
1581669311,13202,13202
1581670589,13211,13211
1581671652,13187,13187
1581673328,13203,13203
1581675250,13212,13212
1581676346,13201,13201
1581677708,13207,13207
1581678912,13183,13183
1581679689,13204,13204
1581681045,13169,13169
1581682211,13153,13153
1581684130,13103,13103
1581686050,13118,13118
1581687625,13076,13076
1581689649,13089,13089
1581691223,13052,13052
1581693010,13031,13031
1581694210,13002,13002
1581696031,12996,12996
1581698710,12955,12955
1581700447,12971,12971
1581702968,12951,12951
1581704108,12932,12932
1581705346,12917,12917
1581706509,12987,12987
1581707652,13007,13007
1581709331,13001,13001
1581711248,13044,13044
1581712088,13074,13074
1581713769,13060,13060
1581714849,13062,13062
1581715690,13076,13076
1581717000,13034,13034
1581718209,13037,13037
1581720131,13004,13004
1581722052,13004,13004
1581722888,13018,13018
1581724227,13002,13002
1581725371,12982,12982
1581727328,12937,12937
1581728888,12915,12915
1581730089,12937,12937
1581731448,12882,12882
1581732618,12853,12853
1581734527,12831,12831
1581736217,12835,12835
1581738129,12815,12815
1581739810,12818,12818
1581741014,12790,12790
1581742208,12803,12803
1581743419,12768,12768
1581744611,12730,12730
1581746170,12746,12746
1581747248,12707,12707
1581748088,12733,12733
1581748930,12661,12661
1581749769,12687,12687
1581751692,12684,12684
1581752837,12607,12607
1581754449,12609,12609
1581755934,12599,12599
1581757842,12663,12663
1581759011,12636,12636
1581760332,12652,12652
1581761712,12633,12633
1581763335,12597,12597
1581765018,12607,12607
1581766931,12601,12601
1581768608,12593,12593
1581770528,12524,12524
1581772451,12523,12523
1581773288,12541,12541
1581774493,12486,12486
1581775817,12486,12486
1581777730,12456,12456
1581779408,12458,12458
1581781328,12443,12443
1581782168,12461,12461
1581784089,12487,12487
1581785708,12467,12467
1581786908,12460,12460
1581788423,12445,12445
1581789369,12461,12461
1581790509,12448,12448
1581792130,12217,12217
1581794048,12253,12253
1581795308,12314,12314
1581796570,12381,12381
1581797711,12400,12400
1581799332,12432,12432
1581800168,12472,12472
1581801314,12481,12481
1581802089,12529,12529
1581802929,12489,12489
1581804851,12519,12519
1581805986,12523,12523
1581808344,12560,12560
1581809708,12559,12559
1581810968,12578,12578
1581812048,12570,12570
1581813728,12584,12584
1581814568,12639,12639
1581815648,12639,12639
1581816487,12678,12678
1581817604,12636,12636
1581818823,12633,12633
1581820209,12600,12600
1581820928,12605,12605
1581821772,12632,12632
1581822913,12628,12628
1581824709,12631,12631
1581826449,12612,12612
1581827289,12629,12629
1581828130,12576,12576
1581829818,12575,12575
1581831730,12565,12565
1581832569,12590,12590
1581833712,12580,12580
1581834908,12556,12556
1581836168,12653,12653
1581837313,12649,12649
1581838525,12641,12641
1581839776,12658,12658
1581840848,12624,12624
1581841689,12652,12652
1581842531,12612,12612
1581843368,12642,12642
1581844511,12607,12607
1581846022,12590,12590
1581847233,12585,12585
1581848051,12607,12607
1581849729,12603,12603
1581851660,12655,12655
1581852488,12719,12719
1581854168,12793,12793
1581855313,12850,12850
1581856088,12898,12898
1581857412,12911,12911
1581858609,12938,12938
1581859709,12988,12988
1581861630,12977,12977
1581862824,13001,13001
1581864133,12972,12972
1581864971,13000,13000
1581866086,13000,13000
1581867620,12971,12971
1582031647,4205,4205
1582033328,4164,4164
1582034168,4328,4328
1582035249,4244,4244
1582036928,3879,3879
1582038135,3875,3875
1582039809,4151,4151
1582041289,4362,4362
1582042448,4545,4545
1582044128,4841,4841
1582044968,4995,4995
1582046048,5168,5168
1582047728,5446,5446
1582049021,5624,5624
1582050488,5818,5818
1582051889,6012,6012
1582053253,6210,6210
1582054361,6370,6370
1582055531,6498,6498
1582056848,6645,6645
1582058528,6829,6829
1582059375,6910,6910
1582060449,7005,7005
1582062128,7148,7148
1582062968,7217,7217
