DateTime,AddedIPs,RemovedIPs
1581324617,0,1
1581329653,0,2
1581331336,1,2
1581334933,2,0
1581336853,1,1
1581338533,3,1
1581340215,1,0
1581341297,1,0
1581342975,0,1
1581346191,0,1
1581349336,1,0
1581350175,1,0
1581354855,1,1
1581360139,2,0
1581363032,0,1
1581364576,0,1
1581365721,0,1
1581366493,1,0
1581367827,0,1
1581369019,1,0
1581371774,0,2
1581374539,0,2
1581376459,0,1
1581378141,0,1
1581380055,0,1
1581381320,0,1
1581383379,3,1
1581385338,0,2
1581387025,0,1
1581388940,0,2
1581389776,2,0
1581390859,0,2
1581391696,1,0
1581392542,0,1
1581393379,1,0
1581394521,3,0
1581396135,2,1
1581396981,1,0
1581398055,2,0
1581399735,1,0
1581403338,0,1
1581406938,3,1
1581408858,0,1
1581410537,2,0
1581412456,2,0
1581413562,0,2
1581415361,0,4
1581417633,1,0
1581419655,1,1
1581421337,1,0
1581424517,0,2
1581427226,1,0
1581428541,0,1
1581430454,1,0
1581432137,1,1
1581433383,1,0
1581434482,1,0
1581435629,1,1
1581442935,0,1
1581444862,2,0
1581445695,1,0
1581446538,3,2
1581448456,2,0
1581449296,1,0
1581450916,1,1
1581452118,2,0
1581452896,2,0
1581453737,1,2
1581455657,4,3
1581457233,5,0
1581459021,0,1
1581460938,2,2
1581461776,1,0
1581462859,1,0
1581463697,1,0
1581466457,0,1
1581467722,0,3
1581470059,2,0
1581471631,1,1
1581473720,1,0
1581474501,1,0
1581476175,1,0
1581477259,3,0
1581478519,1,0
1581480618,2,1
1581482537,0,1
1581484459,1,0
1581487168,1,0
1581488428,1,0
1581491725,1,1
1581494451,0,2
1581495627,1,0
1581498859,3,1
1581500541,0,4
1581502458,3,0
1581504141,3,2
1581506128,2,1
1581507317,0,1
1581509662,3,0
1581511521,2,0
1581513021,1,0
1581515417,2,0
1581520455,1,1
1581522143,0,1
1581522978,1,0
1581524059,0,1
1581525742,0,1
1581527439,1,0
1581529338,2,1
1581532942,0,1
1581534856,0,2
1581536439,1,1
1581538456,0,1
1581540143,0,2
1581541814,1,1
1581543005,2,1
1581545421,2,0
1581546629,2,1
1581550942,1,0
1581554547,1,1
1581556455,0,1
1581558146,1,0
1581610220,26,29
1581611295,1,0
1581614059,1,1
1581617034,0,1
1581617658,1,0
1581618917,1,2
1581620022,1,2
1581621262,0,1
1581622094,5,0
1581622947,2,2
1581624857,1,0
1581626545,2,0
1581628224,1,1
1581630136,0,3
1581632054,1,1
1581632899,1,0
1581634030,0,1
1581635658,0,1
1581639259,2,2
1581641105,0,1
1581644435,2,2
1581645649,1,2
