DateTime,AddedIPs,RemovedIPs
1581413546,53,40
1581415449,61,54
1581417369,59,59
1581419307,61,62
1581421208,63,60
1581423132,32,66
1581425060,45,33
1581427222,57,44
1581429126,53,57
1581431048,45,52
1581432978,50,46
1581434886,33,51
1581436828,60,33
1581438742,58,57
1581440651,53,58
1581444505,45,52
1581446411,70,46
1581448579,59,68
1581450490,56,62
1581452423,50,54
1581454324,28,52
1581456245,48,30
1581458180,54,44
1581460087,63,50
1581462013,50,65
1581463946,55,48
1581465852,42,56
1581467768,61,43
1581469701,58,61
1581471611,52,58
1581473535,60,52
1581475463,57,61
1581477369,57,57
1581479295,67,58
1581481217,60,66
1581483126,47,62
1581485045,57,43
1581486978,35,60
1581488885,67,37
1581490820,52,67
1581493703,69,53
1581495618,57,68
1581497526,47,55
1581499448,24,48
1581501378,51,25
1581503283,46,48
1581505230,67,50
1581507141,57,67
1581509051,58,53
1581510966,59,61
1581513155,56,59
1581515051,43,55
1581516969,52,45
1581518900,50,52
1581520803,22,51
1581522736,25,21
1581524646,58,26
1581526579,65,59
1581528486,59,63
1581530419,74,55
1581534495,66,78
1581536409,60,65
1581538351,49,57
1581540246,57,52
1581542197,40,56
1581544117,58,42
1581546004,43,55
1581547926,52,44
1581549847,47,52
1581551765,52,45
1581553687,58,54
1581555617,43,57
1581557529,37,38
1581559699,50,39
1581561612,47,51
1581563776,70,49
1581565716,45,62
1581567649,55,49
1581569557,64,58
1581571451,60,63
1581573366,53,60
1581575318,59,57
1581577209,46,57
1581580084,47,45
1581582003,44,48
1581583924,44,42
1581585847,39,48
1581589683,42,39
1581591607,41,41
1581593529,35,39
1581595453,35,32
1581597368,51,41
1581599289,46,48
1581601208,55,47
1581603130,44,58
1581605047,45,43
1581606975,32,46
1581610805,32,32
1581612723,26,32
1581616567,34,22
1581618487,50,39
1581620407,52,45
1581622333,34,48
1581624252,36,33
1581626167,33,37
1581628336,53,35
1581630274,57,52
1581632168,63,60
1581634085,60,63
1581636004,60,62
1581637925,51,54
1581639852,60,53
1581641767,66,63
1581643689,56,63
1581645609,65,53
1581647532,50,66
1581649695,50,52
1581651607,32,46
1581653536,55,34
1581657368,50,57
1581659289,62,52
1581661205,42,60
1581663126,46,44
1581665050,50,49
1581666965,40,49
1581670811,42,38
1581672728,41,46
1581674921,39,38
1581676808,51,38
1581678736,44,49
1581680651,45,49
1581682577,39,45
1581684485,47,38
1581686403,53,48
1581688328,52,51
1581690247,41,52
1581692168,54,44
1581694087,33,53
1581696004,43,32
1581697932,45,38
1581702012,47,43
1581703931,44,54
1581705864,59,44
1581707775,57,55
1581709695,66,60
1581711618,62,65
1581713546,65,62
1581717381,53,65
1581719285,57,56
1581721283,60,59
1581723146,53,52
1581725316,56,52
1581727208,48,59
1581729132,57,51
1581731063,61,57
1581732974,67,61
1581736817,63,67
1581738725,61,59
1581742565,54,62
1581746426,36,56
1581748336,61,37
1581752408,29,60
1581754344,38,31
1581756248,49,39
1581758173,29,48
1581760101,24,29
1581762007,54,23
1581765860,39,53
1581767765,37,41
1581771625,38,38
1581773533,48,34
1581775696,30,46
1581777609,37,30
1581779542,33,38
1581781450,30,35
1581783610,44,30
1581785548,40,41
1581787466,46,46
1581789367,50,44
1581791289,37,51
1581793227,38,37
