DateTime,AddedIPs,RemovedIPs
1581674921,11,0
1581676808,15,8
1581678736,14,10
1581680651,16,13
1581682577,146,9
1581684485,16,17
1581686403,280,20
1581688328,14,18
1581690247,16,9
1581692168,169,10
1581692906,500,496
1581693377,347,350
1581694087,14,11
1581696004,235,0
1581697932,9,10
1581699602,114,0
1581702012,11,6
1581703202,104,0
1581703931,12,2
1581705864,21,13
1581706802,97,0
1581707775,19,15
1581709695,19,6
1581710402,98,0
1581711618,15,6
1581713546,22,10
1581714002,92,0
1581717381,10,29
1581717602,84,0
1581719285,19,20
1581721283,12,20
1581723146,95,17
1581725316,144,3038
1581727208,17,20
1581728402,104,0
1581729132,16,12
1581731063,17,17
1581732002,118,0
1581732974,100,135
1581736817,20,35
1581738725,26,7
1581739202,229,0
1581741605,10,22
1581742565,9,12
1581746426,10,38
1581747302,226,0
1581748336,17,18
1581750901,137,0
1581752408,8,24
1581754344,6,7
1581756248,17,0
1581758173,10,11
1581760101,225,11
1581762007,17,9
1581765301,222,0
1581765860,15,27
1581767765,11,10
1581768901,140,0
1581771625,9,28
1581773533,15,17
1581775696,8,14
1581776102,270,0
1581777609,8,17
1581779542,11,12
1581781450,9,14
1581783610,138,11
1581784091,822,860
1581785548,13,9
1581787466,16,0
1581789367,363,13
1581791289,11,12
1581793227,14,18
1581795132,218,20
1581797299,6,19
1581799210,11,12
1581801144,12,18
1581802202,191,0
1581803051,7,0
1581804979,11,11
1581806893,5,18
1581808805,7,9
1581810007,249,0
1581812659,9,20
1581814568,14,14
1581816488,11,15
1581817686,112,2692
1581818426,12,18
1581820333,6,28
1581821525,306,76
1581822499,7,0
1581824423,9,14
1581826337,31,23
1581828261,159,0
1581828302,88,0
1581830173,11,5
1581832093,82,0
1581834018,11,8
1581835501,123,0
1581835925,10,19
1581837848,9,0
1581839778,14,8
1581841687,15,7
1581842702,183,0
1581843645,14,17
1581845542,3,7
1581847710,5,8
1581849611,5,16
1581851532,96,0
1581853461,5,14
1581853502,183,0
1581855377,3,10
1581857532,9,0
1581859450,12,8
1581861378,104,9
1581861602,92,0
1581863285,5,5
1581865210,9,8
1581867143,114,8
1581869052,115,5
1581870968,3,16
1581872910,94,13
1581874811,5,18
1581875066,880,827
1581876002,87,0
1581876730,13,8
1581878661,12,8
1581879602,76,0
1581880570,6,16
1581882489,7,8
1581883201,101,0
1581884418,9,7
1581886324,6,11
1581890180,5,16
1581890402,201,0
1581892085,6,11
1581894011,9,4
1581895208,128,42
1581895945,12,8
1581898110,9,0
1581900012,19,8
1581901201,155,2877
1581902888,30,37
1581903863,20,27
1581905769,21,13
1581906728,42,0
1581907689,16,10
1581909301,254,0
1581909617,15,8
1581911526,14,8
1581914647,5,19
1581915377,19,28
1581916502,255,0
1581917285,17,13
1581919211,18,11
1581921141,11,9
1581923310,14,11
1581923701,254,0
1581925210,12,12
1581927132,13,12
1581929062,13,14
1581930971,11,15
1581931802,346,0
1581932888,12,4
1581934818,14,7
1581936727,11,2
1581938648,21,9
1581939002,298,0
1581940579,8,3
1581942484,12,2
1581944410,5,7
1581946342,10,10
1581948510,316,5
1581950410,14,6
1581952333,13,6
1581954265,224,9
1581954735,775,0
1581956412,9,8
1581958328,253,5
1581960269,14,11
1581961502,295,0
1581962166,10,4
1581964086,10,13
1581966038,4,6
1581967931,7,6
1581968702,340,0
1581969852,9,8
1581971788,13,7
1581972514,790,818
1581973702,6,5
1581975633,738,0
1581975902,493,0
1581977529,19,5
1581979468,19,7
1581981370,18,9
1581983290,16,11
1581983766,296,68
1581985206,16,6
1581987127,16,17
1581987602,369,2210
1581989077,18,0
1581990967,9,17
1581991449,248,97
1581992905,23,18
1581994803,148,0
1581996726,19,30
1581998901,134,7
1581999605,13,0
1582000809,14,0
1582001101,102,0
1582002751,14,11
1582004647,15,10
1582006569,20,11
1582008508,20,12
1582010407,123,9
1582012325,14,9
1582012802,363,0
1582014267,23,11
1582016167,20,10
1582016402,194,0
1582017372,808,0
1582018087,8,9
1582018810,686,0
1582020002,193,0
1582024100,213,29
1582026010,9,18
1582027202,157,0
1582027956,18,4
1582029848,18,11
1582030802,172,0
1582031772,20,5
1582033710,21,11
1582034402,149,0
1582035607,15,6
1582037525,12,14
1582038002,177,0
1582039464,14,13
1582041366,12,7
1582041602,195,0
1582043288,20,6
1582045221,17,8
1582047129,165,16
1582049298,154,9
1582051209,14,10
1582053144,18,6
1582055049,17,6
1582056002,283,0
1582056970,11,5
1582058906,23,7
1582060102,669,1402
1582060804,19,6
1582062739,10,12
1582063202,242,0
1582064646,17,17
1582066578,9,13
1582068486,15,17
1582068731,38,0
1582070427,9,20
1582072331,108,17
1582074754,15,20
1582074901,218,3265
1582076404,38,0
1582076648,15,19
1582078573,28,10
1582080248,22,69
1582080503,15,26
1582082405,166,0
1582084328,32,32
1582086263,15,13
1582086601,278,0
1582088167,12,12
1582090085,22,19
1582093928,18,34
1582096098,296,18
1582098009,17,19
1582099947,21,10
1582101002,294,0
1582101848,19,26
1582103794,8,17
1582107636,19,9
1582108329,770,2227
1582109539,335,0
1582111458,11,10
1582113383,14,7
1582115291,13,14
1582115401,397,0
1582117211,18,15
1582121320,13,40
1582122602,364,0
1582123209,17,13
1582125132,19,9
1582127064,19,11
1582128967,20,10
1582129802,293,0
1582130891,19,13
1582132821,18,17
