DateTime,AddedIPs,RemovedIPs
1582058521,5,1
1582059788,2,1
1582060321,4,0
1582060921,2,0
1582061521,59,63
1582062121,6,0
1582063387,101,112
1582063921,4,0
1582064521,2,0
1582065121,128,207
1582065721,2,0
1582066322,1,0
1582066988,59,89
1582068122,4,1
1582068721,2,0
1582069321,2,0
1582070521,8,0
1582071721,5,0
1582072322,63,75
1582072922,8,0
1582074721,3,1
1582075921,40,71
1582076521,1,1
1582077787,7,1
1582078921,1,1
1582080122,2,0
1582081388,38,44
1582082521,2,0
1582083112,63,69
1582083722,6,1
1582084988,79,78
1582086121,3,0
1582086721,2,0
1582087321,4,0
1582088588,1,0
1582089722,4,0
1582090282,61,63
1582090921,2,0
1582092121,4,0
1582092128,0,1
1582093321,4,0
1582093868,63,56
1582094521,1,1
1582095788,2,0
1582096921,3,0
1582097474,53,39
1582098121,4,0
1582099389,3,1
1582100521,2,0
1582101078,61,50
1582101721,4,0
1582102988,1,1
1582103521,1,0
1582104121,2,0
1582104677,59,44
1582104994,736,316
1582105321,7,0
1582106588,1,3
1582107121,2,0
1582107721,2,0
1582108321,48,35
1582108921,3,0
1582110188,1,1
1582110721,1,0
1582111863,40,54
1582111981,1,0
1582112522,3,0
1582113722,3,0
1582114921,2,0
1582116121,2,0
1582116722,4,0
1582117329,55,33
1582117921,2,0
1582119121,64,38
1582119721,6,0
1582121521,2,0
1582122121,3,0
1582122721,56,47
1582123321,4,1
1582124528,3,0
1582126264,50,53
1582126382,1,0
1582128121,3,0
1582128190,0,1
1582129322,3,1
1582129921,48,47
1582130521,4,0
1582131121,7,0
1582131788,0,1
1582133471,63,51
1582133582,1,0
1582134121,3,0
1582136522,3,0
1582137121,1,0
1582138321,3,0
1582138988,68,71
1582140121,4,0
1582140721,78,62
1582141321,3,0
1582142588,1,0
1582143721,4,0
1582144285,72,65
1582144921,3,0
1582145522,3,0
1582146188,5,0
1582146721,7,0
1582147321,2,0
1582147921,90,67
1582147981,1,0
1582148522,5,0
1582149122,3,0
1582149788,4,1
1582150322,1,0
1582150921,6,0
1582151521,52,78
1582152122,3,0
1582153388,3,0
1582153921,9,0
1582154522,5,0
1582155121,48,78
1582155722,1,0
1582156989,3,2
1582158121,3,0
1582158721,56,71
1582159322,2,0
1582160528,2,0
1582161722,4,0
1582162381,50,56
1582162921,5,0
1582164189,4,1
1582164721,4,0
1582165321,3,0
1582165921,4,0
1582165982,51,52
1582166521,5,0
1582167789,2,0
1582168321,6,0
1582168921,1,0
1582169582,56,72
1582170121,3,0
1582170721,1,0
1582171389,3,0
1582171921,1,0
1582172521,4,0
1582173121,56,70
1582173722,2,0
1582174921,2,0
1582176121,8,0
1582176722,1,0
1582177321,0,1
1582177921,1,0
1582178589,63,68
1582180273,53,42
1582180921,4,0
1582182121,5,0
1582183321,3,0
1582183877,53,42
1582183981,6,0
1582184521,12,0
1582185122,8,0
1582185789,52,48
1582186922,11,0
1582188121,5,0
1582188721,3,0
1582189321,2,0
1582190521,6,0
1582191109,45,39
1582191721,1,0
1582192118,790,280
1582192321,3,0
1582192989,10,0
1582193521,3,0
1582194721,6,0
1582195321,4,0
1582195921,4,0
1582196589,56,27
1582197121,3,0
1582197721,5,0
1582198321,60,45
1582198921,10,0
1582199521,4,0
1582200126,57,36
1582200189,0,1
1582201321,6,0
1582201921,5,0
1582203121,3,0
1582203721,5,0
1582204921,10,0
1582206122,16,0
1582206721,5,0
1582207321,58,48
1582207389,0,1
1582208521,3,0
1582209122,1,0
1582209722,3,0
1582210922,43,63
1582210989,0,1
1582212122,4,0
1582212679,58,49
1582214521,4,0
1582215121,2,0
1582215721,1,0
1582216381,68,56
1582216921,1,0
1582217521,2,0
1582218189,67,49
1582219321,6,0
1582219921,51,62
1582220521,14,0
1582221121,2,0
1582221789,114,85
1582222321,1,0
1582222921,4,0
1582223581,50,64
1582224121,5,0
1582225389,5,0
1582226521,3,0
1582227121,99,79
1582227721,6,0
1582228321,1,0
1582228990,5,1
1582230121,3,0
1582230721,72,48
1582231322,3,0
1582232590,2,0
1582233721,13,0
1582234381,57,60
1582234921,4,0
1582235521,2,0
1582236121,5,0
1582237322,3,0
1582237922,44,75
1582237981,1,0
1582238521,3,0
1582239121,3,0
1582240921,2,1
1582241494,42,84
1582242121,5,0
1582243390,8,1
1582243922,1,1
1582245121,62,52
1582246321,1,0
1582248121,4,0
1582248722,53,74
1582249321,6,0
1582252381,33,51
1582252922,3,0
1582254190,1,0
1582255321,3,0
1582255922,62,62
1582257790,4,0
1582258321,1,0
1582258921,7,0
1582259522,65,80
1582261390,6,1
1582261922,5,0
1582261930,1,0
1582262521,8,0
1582263122,2,0
1582263722,4,0
1582264991,121,107
1582266122,1,0
1582267321,6,0
1582267921,4,0
1582268590,2,0
1582269721,3,0
1582270265,47,49
1582270921,3,0
1582272191,9,1
1582273322,2,0
1582273883,45,43
1582274521,4,0
1582275721,3,0
1582275790,0,1
1582276322,0,1
1582276921,2,0
1582277464,48,44
1582278121,0,1
