DateTime,AddedIPs,RemovedIPs
1582172374,3,5
1582173093,5,4
1582173649,6,22
1582173813,0,4
1582174533,6,29
1582175254,1,2
1582175533,16,0
1582175974,3,7
1582176693,4,3
1582177463,540,8235
1582178134,4,6
1582178418,6,0
1582178853,2,6
1582179372,7,0
1582179573,2,4
1582180293,1,7
1582181012,2,3
1582181292,13,15
1582181733,3,3
1582182452,1,6
1582183226,8,6
1582183893,4,10
1582184613,4,6
1582185135,12,12
1582185334,4,5
1582186053,3,8
1582186773,5,2
1582187047,21,0
1582187493,1,10
1582188213,4,7
1582188979,12,34
1582189654,1,17
1582190373,4,24
1582190887,7,0
1582191093,2,5
1582191813,0,6
1582192533,4,4
1582193305,15,11
1582193974,5,7
1582194747,26,30
1582195413,5,3
1582196134,5,8
1582196656,7,14
1582196854,7,5
1582197573,3,6
1582198293,6,4
1582198569,14,8
1582199013,8,3
1582199733,9,6
1582200503,25,16
1582201172,3,6
1582201893,3,4
1582202414,18,21
1582202613,9,12
1582203332,4,1
1582204054,8,9
1582204329,8,19
1582204773,5,12
1582205492,7,6
1582206262,22,18
1582206963,3,7
1582207653,5,5
1582207928,6,2
1582208169,9,0
1582208373,1,4
1582209092,1,6
1582209813,3,3
1582210092,12,10
1582210532,4,94
1582211253,4,22
1582212018,37,18
1582212693,4,15
1582213413,6,8
1582213928,18,14
1582214133,12,9
1582214852,1,3
1582215573,6,7
1582215846,17,29
1582216294,5,7
1582217013,4,6
1582217777,22,29
1582218454,0,8
1582219221,4,11
1582219683,11,0
1582219894,5,13
1582220613,4,6
1582221334,7,8
1582221608,10,15
1582222054,3,48
1582222572,9,0
1582222773,6,9
1582223538,14,17
1582224213,1,6
1582224934,5,5
1582225454,12,18
1582225893,4,4
1582226613,6,7
1582227334,4,3
1582228053,5,7
1582228773,6,3
1582229297,6,36
1582229493,6,8
1582230213,6,7
1582230933,6,5
1582231208,9,10
1582231653,3,9
1582232373,4,2
1582233141,11,10
1582233814,5,3
1582234532,3,4
1582235046,17,12
1582235252,4,4
1582235973,5,7
1582236693,9,2
1582237205,8,2
1582237413,4,5
1582238132,3,4
1582238901,19,27
1582239573,2,2
1582240294,6,12
1582240804,23,10
1582241014,6,1
1582241733,2,1
1582242453,5,3
1582242723,8,21
1582243172,2,3
1582243893,9,4
1582244661,21,9
1582245333,1,9
1582246053,1,3
1582246565,13,14
1582246772,5,7
1582247492,3,6
1582248213,3,12
1582248483,11,15
1582248932,5,5
1582249653,3,7
1582250419,14,16
1582250887,1,0
1582251094,2,9
1582251859,11,6
1582252327,20,13
1582252533,4,2
1582253253,2,7
1582253973,2,11
1582254497,14,17
1582254693,2,6
1582255413,2,3
1582256133,8,4
1582256409,17,15
1582256852,5,2
1582257573,3,3
1582258589,22,19
1582259253,2,4
1582259973,2,4
1582260492,14,13
1582260694,4,6
1582261413,2,1
1582262133,3,4
1582262414,15,14
1582262898,3,2
1582263573,8228,83
1582264337,26,3
1582265013,6,3
1582265732,6,5
1582266271,19,9
1582266739,20,3
1582267413,6,2
1582268178,15,10
1582269093,4,4
1582269813,1,4
1582270087,8,9
1582270534,5,4
1582271252,1,3
1582272025,22,15
1582272693,3,3
1582273413,4,1
1582273928,13,10
1582274132,2,1
1582274853,5,3
1582275572,4,1
1582275850,14,9
1582276293,2,0
1582277012,3,5
1582277780,18,12
1582278453,5,2
1582279173,16,4
1582279957,18,19
1582280613,3,5
1582281380,6,2
1582281863,14,25
1582282533,6,4
1582283253,3,5
1582283774,20,13
1582283973,6,3
1582284693,3,7
1582285413,2,7
1582285694,19,13
1582286133,2,10
1582287093,3,6
1582287606,5,9
1582287813,4,2
1582288532,3,5
1582289253,11,9
1582289525,5,9
1582289973,5,5
1582290693,6,9
1582291413,4,5
1582292134,2,9
1582292853,7,11
1582293365,11,18
1582293573,3,2
1582294292,5,5
1582294564,1,0
1582295014,3,2
1582295284,12,12
1582295733,2,1
1582296006,9,0
1582296453,2,7
1582297220,16,15
1582297893,4,6
1582298612,6,24
1582299333,5,6
1582300054,3,8
1582300773,5,10
1582301493,6,3
1582302213,4,5
1582302979,21,43
1582303654,4,4
1582304373,5,8
1582304896,10,0
1582305094,2,1
1582305814,2,4
1582306580,37,5
1582306811,16,13
1582307254,21,7
1582307974,8,7
1582308745,16,19
1582309413,36,5
1582310133,5,2
1582310649,13,1
1582310854,5,4
1582311572,4,2
1582312293,4,4
1582312568,13,14
1582313013,0,8
1582313733,1,4
1582314503,16,32
1582315173,1,7
1582315893,11,6
1582316404,18,0
1582316613,8,4
1582317332,3,3
1582318054,1,6
1582318324,22,16
1582318773,3,1
1582319493,7,3
1582320262,21,28
1582320934,1,2
1582321653,4,4
1582322165,8,0
1582322373,1,5
1582323094,1,7
1582323812,3,6
1582324088,13,10
1582324533,3,6
1582325303,10,6
1582326021,17,18
1582326693,3,6
1582327413,1,3
1582327927,9,0
1582328133,2,6
1582328852,2,3
1582329573,3,8
1582330099,9,19
1582330293,2,8
1582331014,4,7
1582331733,2,1
1582332008,12,6
1582332453,2,2
1582333173,6,4
1582333941,24,8
1582334614,1,7
1582335332,6,5
1582335846,11,6
1582336053,10,3
1582336772,2,0
1582337492,6,3
1582337771,9,18
1582338244,4,8
1582338933,1,3
1582339703,17,11
1582339926,12,0
1582340374,5,5
1582341093,2,2
1582341813,3,2
1582342533,3,5
1582343253,9,6
1582343973,2,3
1582344693,4,4
1582345462,15,30
1582346133,3,4
1582346854,2,3
1582347366,13,9
1582347573,4,5
1582348293,1,2
1582349013,7,4
1582349285,18,9
1582349732,93,47
1582350247,3,0
1582350453,7,4
1582351233,21,18
1582351894,1,4
1582352614,5,5
1582353126,9,9
1582353334,3,4
1582354052,3,5
1582354565,7,2
1582354772,9,4
1582355299,17,9
1582355493,6,3
1582356212,3,2
1582356933,10,5
1582357210,9,11
1582357653,3,2
1582358373,6,3
1582359143,21,14
1582359813,5,4
1582360532,2,4
1582361047,16,6
1582361254,4,7
1582361973,5,4
1582362990,18,1225
1582363653,10,2
1582364373,5,5
1582364893,13,11
1582365094,4,5
