DateTime,Entries,UniqueIPs
1581998521,4027,4130
1581999721,4029,4132
1582000921,4031,4134
1582002121,4005,4109
1582003321,4027,4133
1582004521,4015,4123
1582005721,3997,4099
1582006921,3978,4074
1582008121,3981,4076
1582009321,4011,4107
1582010522,3986,4082
1582011721,3976,4071
1582012921,3969,4062
1582014121,3975,4067
1582015321,3990,4082
1582016521,3991,4081
1582017721,3987,4078
1582018922,3971,4057
1582019521,4002,4089
1582020121,3961,4050
1582021321,3989,4078
1582021921,4018,4108
1582022521,4025,4116
1582023722,4024,4114
1582024922,3993,4085
1582025521,3970,4062
1582026721,3965,4055
1582027322,3986,4077
1582027921,3948,4039
1582028521,3967,4058
1582029121,3934,4023
1582030322,3917,4005
1582030921,3934,4023
1582032122,3919,4009
1582032721,3942,4036
1582033321,3994,4090
1582034522,3958,4053
1582035121,3973,4069
1582036321,3969,4063
1582036921,3977,4073
1582038121,3968,4064
1582039322,3972,4067
1582039921,3948,4044
1582040521,3966,4063
1582041721,3941,4038
1582042921,3889,3988
1582043521,3896,3997
1582044121,3921,4023
1582044722,3922,4024
1582045322,3921,4023
1582045921,3928,4030
1582047121,3952,4053
1582047721,3930,4032
1582048921,3887,3987
1582050121,3920,4021
1582051321,3878,3983
1582052521,3909,4015
1582053721,3856,3958
1582054921,3890,3997
1582056121,3891,3996
1582056722,3884,3990
1582057921,3876,3978
1582058521,3882,3985
1582059721,3879,3979
1582060321,3841,3942
1582060921,3822,3924
1582061521,3856,3960
1582062121,3883,3990
1582063321,3841,3942
1582063921,3846,3946
1582064521,3882,3986
1582065121,3872,3974
1582066322,3860,3959
1582066922,3890,3990
1582068122,3896,3997
1582068721,3921,4022
1582069321,3932,4033
1582070521,3960,4063
1582071721,3966,4069
1582072322,3986,4089
1582072922,3979,4083
1582074122,3972,4077
1582075322,3975,4081
1582076521,3987,4094
1582077721,3977,4083
1582078921,3964,4069
1582080122,3963,4068
1582081321,3933,4038
1582082521,3923,4030
1582083722,3950,4059
1582084921,3940,4048
1582085521,3938,4048
1582086721,3968,4079
1582087321,3987,4099
1582088521,3992,4102
1582089722,3980,4087
1582090921,3988,4096
1582091522,3984,4090
1582092722,3964,4076
1582093321,3970,4086
1582094521,3979,4097
1582095721,4010,4129
1582096921,3994,4112
1582098121,3999,4116
1582099321,3991,4113
1582100521,4013,4137
1582101721,4018,4141
1582102322,4001,4121
1582102921,4031,4153
1582103521,4020,4142
1582104721,4046,4169
1582105321,4069,4194
1582106521,4054,4179
1582107121,4084,4209
1582107721,4087,4210
1582108921,4027,4149
1582109522,4041,4166
1582110121,4053,4181
1582111321,4046,4174
1582111921,4069,4196
