DateTime,AddedIPs,RemovedIPs
1581993121,6,13
1581993721,3,0
1581994921,9,2
1581996121,3,12
1581997322,3,4
1581998521,7,6
1581999721,4,2
1582000921,7,2
1582002121,3,13
1582003321,7,10
1582004521,2,3
1582005721,6,0
1582006921,3,1
1582008121,15,3
1582009321,8,5
1582010522,3,5
1582011721,2,2
1582012921,5,4
1582014121,3,0
1582015321,4,12
1582016521,5,6
1582017721,1,2
1582018922,2,4
1582019521,2,19
1582020121,0,3
1582021321,3,0
1582021921,3,5
1582022521,10,14
1582023722,6,34
1582024922,7,0
1582025521,3,1
1582026721,5,6
1582027322,0,5
1582027921,0,8
1582028521,2,0
1582029121,6,1
1582030322,3,8
1582030921,3,0
1582032122,3,11
1582033321,24,0
1582034522,5,7
1582035121,6,0
1582036321,8,8
1582036921,7,0
1582038121,8,8
1582039322,7,7
1582039921,3,0
1582040521,4,2
1582041721,3,7
1582042921,9,8
1582043521,6,0
1582044121,10,4
1582044722,10,0
1582045322,5,6
1582045921,8,4
1582047121,5,2
1582047721,1,0
1582048921,2,1
1582050121,4,0
1582051321,1,3
1582052521,6,5
1582053721,2,5
1582054921,6,6
1582056121,6,2
1582056722,5,6
1582057921,8,9
1582059721,4,5
1582060321,8,0
1582060921,2,0
1582061521,6,8
1582062121,9,0
1582063321,4,6
1582063921,5,3
1582064521,2,0
1582065121,3,8
1582066322,2,19
1582066922,5,0
1582068122,5,6
1582068721,5,2
1582069321,4,4
1582070521,10,0
1582071721,4,20
1582072322,5,2
1582072922,7,1
1582074122,1,8
1582075322,6,3
1582076521,4,10
1582077721,9,0
1582078921,8,10
1582080122,3,0
1582081321,6,7
1582082521,1,0
1582083722,5,1
1582084921,16,6
1582085521,2,17
1582086721,3,0
1582087321,4,0
1582088521,4,20
1582089722,7,9
1582090921,3,0
1582091522,8,3
1582092722,8,5
1582093321,2,3
1582094521,1,6
1582095721,6,3
1582096921,7,4
1582098121,5,11
1582099321,4,32
1582100521,2,0
1582101721,17,6
1582102322,4,11
1582102921,2,0
1582103521,7,9
1582104721,6,0
1582105321,4,8
1582106521,4,0
1582107121,3,9
1582107721,4,0
1582108921,6,28
1582109522,2,2
1582110121,2,5
1582111321,5,3
1582111921,8,4
1582113121,8,8
1582113722,2,0
1582114321,6,0
1582115522,5,4
1582116121,3,3
1582116722,3,0
1582117321,7,4
1582117921,5,0
1582118521,4,3
1582119721,6,3
1582120321,3,6
1582121521,5,6
1582122121,6,7
1582122721,0,3
1582123321,7,5
1582123921,7,3
1582125721,3,0
1582126921,0,3
1582128121,6,0
1582129322,8,27
1582129921,3,0
1582130521,4,2
1582131121,10,0
1582131722,5,8
1582132921,4,5
1582133521,4,0
1582134121,5,0
1582135321,1,10
1582136522,0,6
1582137121,6,10
1582137721,7,0
1582138922,6,4
1582140121,5,5
1582140721,7,0
1582141321,4,0
1582142521,6,3
1582143121,3,4
1582144321,7,6
1582145522,5,4
1582146121,10,6
1582146721,4,0
1582147321,3,0
1582147921,8,1
1582148522,2,0
1582149122,5,4
1582149721,10,5
1582150322,4,3
1582150921,5,0
1582151521,3,2
1582152122,5,0
1582153321,4,7
1582153921,5,2
1582154522,5,6
1582155121,8,13
1582155722,3,4
1582156921,2,7
1582158121,4,3
1582159322,6,0
1582159921,2,12
1582161722,6,6
1582162921,5,5
1582163522,3,6
1582165321,4,1
1582165921,3,0
1582166521,12,5
1582167721,7,1
1582168921,5,20
1582169521,3,2
1582170721,4,5
1582171321,3,5
1582172521,1,0
1582173722,3,38
1582174921,6,1
1582176121,8,3
1582177321,6,6
1582177921,4,0
1582178521,11,7
1582179721,4,4
1582180921,6,6
1582181521,5,0
1582182721,6,8
1582183921,14,3
1582184521,9,0
1582185122,12,1
1582185721,3,10
1582186922,12,0
1582187521,5,3
1582188721,6,2
1582189321,3,0
1582190521,9,4
1582191121,2,9
1582192321,10,5
1582192921,7,0
1582194121,6,6
1582194721,5,0
1582195321,4,0
1582195921,5,2
1582196521,5,4
1582198321,10,1
1582198921,5,3
1582199521,5,4
1582200121,5,0
1582201321,4,3
1582201921,8,0
1582202521,1,5
1582203721,8,7
1582204321,10,9
1582204921,12,3
1582206122,6,9
1582207321,3,0
1582207921,7,3
1582209122,3,2
1582209722,6,1
1582210922,0,4
1582212122,6,2
1582213322,1,8
1582214521,1,10
1582215121,5,5
1582216321,7,3
1582216921,2,0
1582217521,6,0
1582218122,5,1
1582219321,9,12
1582220521,4,11
1582221121,2,0
1582221722,4,0
1582222321,4,15
1582222921,4,3
1582224121,4,32
1582225321,7,3
1582225921,5,0
1582226521,5,4
1582227721,4,0
1582228921,7,12
1582230121,0,4
1582231322,4,0
1582232521,3,7
1582233121,16,2
1582234321,1,0
1582234921,5,0
1582236121,7,5
1582237322,4,25
1582237922,6,9
1582238521,13,3
1582239121,1,0
1582240321,9,0
1582240921,3,4
1582242121,8,2
1582243321,9,0
1582243922,4,3
1582244521,4,1
1582245721,3,15
1582246921,0,5
