DateTime,AddedIPs,RemovedIPs
1581998521,80,80
1581999721,78,78
1582000921,80,80
1582002121,80,80
1582003321,80,80
1582004521,80,80
1582005721,75,75
1582006921,80,80
1582008121,71,71
1582009321,80,80
1582010522,80,80
1582011721,80,80
1582012921,80,80
1582014121,80,80
1582015321,79,79
1582016521,80,80
1582017721,80,80
1582018922,80,80
1582019521,80,80
1582020121,80,80
1582021321,78,78
1582021921,80,80
1582022521,80,80
1582023722,80,80
1582024922,77,77
1582025521,65,65
1582026721,80,80
1582027322,80,80
1582027921,40,40
1582028521,80,80
1582029121,80,80
1582030322,80,80
1582030921,80,80
1582032122,77,77
1582032721,80,80
1582033321,78,78
1582034522,79,79
1582035121,80,80
1582036321,79,79
1582036921,80,80
1582038121,80,80
1582039322,80,80
1582039921,80,80
1582040521,80,80
1582041721,80,80
1582042921,78,78
1582043521,80,80
1582044121,80,80
1582044722,80,80
1582045322,80,80
1582045921,80,80
1582047121,80,80
1582047721,80,80
1582048921,80,80
1582050121,80,80
1582051321,78,78
1582052521,80,80
1582053721,80,80
1582054921,80,80
1582056121,80,80
1582056722,80,80
1582057921,80,80
1582058521,26,26
1582059721,80,80
1582060321,80,80
1582060921,80,80
1582061521,80,80
1582062121,80,80
1582063321,42,42
1582063921,79,79
1582064521,80,80
1582065121,80,80
1582066322,80,80
1582066922,79,79
1582068122,80,80
1582068721,80,80
1582069321,80,80
1582070521,80,80
1582071721,80,80
1582072322,80,80
1582072922,80,80
1582074122,78,78
1582075322,80,80
1582076521,80,80
1582077721,80,80
1582078921,80,80
1582080122,78,78
1582081321,80,80
1582082521,80,80
1582083722,79,79
1582084921,80,80
1582085521,80,80
1582086721,80,80
1582087321,80,80
1582088521,80,80
1582089722,80,80
1582090921,80,80
1582091522,80,80
1582092722,79,79
1582093321,80,80
1582094521,80,80
1582095721,80,80
1582096921,67,67
1582098121,80,80
1582099321,80,80
1582100521,80,80
1582101721,78,78
1582102322,79,79
1582102921,79,79
1582103521,80,80
1582104721,80,80
1582105321,80,80
1582106521,80,80
1582107121,80,80
1582107721,80,80
1582108921,79,79
1582109522,79,79
1582110121,80,80
1582111321,78,78
1582111921,67,67
1582113121,57,57
1582113722,80,80
1582114321,80,80
1582115522,80,80
1582116121,80,80
1582116722,80,80
1582117321,80,80
1582117921,80,80
1582118521,80,80
1582119721,79,79
1582120321,79,79
1582121521,79,79
1582122121,80,80
1582122721,80,80
1582123321,80,80
1582123921,80,80
1582125721,76,76
1582126921,78,78
1582128121,70,70
1582129322,80,80
1582129921,80,80
1582130521,78,78
1582131121,80,80
1582131722,66,66
1582132921,67,67
1582133521,76,76
1582134121,80,80
1582135321,77,77
1582136522,20,20
1582137121,79,79
1582137721,80,80
1582138922,80,80
1582140121,80,80
1582140721,80,80
1582141321,79,79
1582142521,79,79
1582143121,79,79
1582144321,79,79
1582145522,79,79
1582146121,79,79
1582146721,80,80
1582147321,80,80
1582147921,79,79
1582148522,68,68
1582149122,80,80
1582149721,80,80
1582150322,80,80
1582150921,80,80
1582151521,80,80
1582152122,80,80
1582153321,77,77
1582153921,80,80
1582154522,80,80
1582155121,80,80
1582155722,80,80
1582156921,79,79
1582158121,80,80
1582159322,78,78
1582159921,80,80
1582161722,80,80
1582162921,80,80
1582163522,79,79
1582165321,80,80
1582165921,80,80
1582166521,80,80
1582167721,79,79
1582168921,80,80
1582169521,80,80
1582170721,80,80
1582171321,80,80
1582172521,79,79
1582173722,80,80
1582174921,70,70
1582176121,77,77
1582177321,79,79
1582177921,80,80
1582178521,80,80
1582179721,27,27
1582180921,80,80
1582181521,80,80
1582182721,80,80
1582183921,80,80
1582184521,77,77
1582185122,80,80
1582185721,78,78
1582186922,79,79
1582187521,80,80
1582188721,80,80
1582189321,80,80
1582190521,80,80
1582191121,80,80
1582192321,80,80
1582192921,79,79
1582194121,79,79
1582194721,80,80
1582195321,80,80
1582195921,80,80
1582196521,80,80
1582198321,80,80
1582198921,80,80
1582199521,80,80
1582200121,80,80
1582201321,79,79
1582201921,80,80
