DateTime,AddedIPs,RemovedIPs
1581974521,1,0
1581975121,0,3
1581975722,0,3
1581978121,0,5
1581979322,1,2
1581979921,0,1
1581980521,0,3
1581982321,2,5
1581984122,2,1
1581984721,1,0
1581985921,0,4
1581987721,1,2
1581988921,2,2
1581989521,3,3
1581990122,2,0
1581990721,0,7
1581991321,1,0
1581992521,1,4
1581993721,3,0
1581994921,3,2
1581995521,1,6
1581997322,0,3
1581998521,0,3
1581999721,2,0
1582000921,2,1
1582002121,2,3
1582003321,3,6
1582004521,2,3
1582006921,0,2
1582008121,8,8
1582009321,2,8
1582010522,0,2
1582011721,1,1
1582012921,2,0
1582014722,1,1
1582015321,0,1
1582016521,0,1
1582017721,1,2
1582018922,0,2
1582019521,0,1
1582020721,3,3
1582022521,2,0
1582023121,2,5
1582023722,1,0
1582024922,1,4
1582025521,1,0
1582026122,0,1
1582026721,3,5
1582027921,0,4
1582029121,0,2
1582030921,0,2
1582032122,1,4
1582032721,1,1
1582033321,11,0
1582034522,7,1
1582035121,2,0
1582035721,2,0
1582036321,0,2
1582037521,0,2
1582038121,0,2
1582039322,3,4
1582039921,1,0
1582041121,0,3
1582042921,4,2
1582044121,0,2
1582044721,0,1
1582045322,2,1
1582046521,1,0
1582047721,2,1
1582048921,3,4
1582049521,1,0
1582050722,2,1
1582051321,2,0
1582052521,3,3
1582053721,1,7
1582054921,1,1
1582056121,2,2
1582057321,0,1
1582057921,0,4
1582058521,1,2
1582059721,1,6
1582060921,1,0
1582061521,1,1
1582062121,4,0
1582062721,0,2
1582063921,2,0
1582064521,1,3
1582065121,1,1
1582065721,2,0
1582066922,5,6
1582068122,1,6
1582069321,0,1
1582070521,1,0
1582071721,4,1
1582072921,5,20
1582074721,4,1
1582075322,0,1
1582075921,1,3
1582076521,1,1
1582077721,3,0
1582078921,0,4
1582080122,1,3
1582081321,0,2
1582082521,3,0
1582083722,5,0
1582084921,55,1
1582086121,2,2
1582086721,2,0
1582087321,0,1
1582088521,2,3
1582089721,1,7
1582090921,1,10
1582092121,0,2
1582092722,1,4
1582093321,1,6
1582094521,1,2
1582095721,0,6
1582096921,0,2
1582098121,2,7
1582099321,1,2
1582099921,2,0
1582101121,0,2
1582102921,0,2
1582104121,1,21
1582105321,3,0
1582105921,0,2
1582107121,0,10
1582108321,0,3
1582108921,0,8
1582109522,0,4
1582110721,0,2
1582111321,0,3
1582112522,3,1
1582113121,0,3
1582114321,0,2
1582114921,1,1
1582115522,0,2
1582116121,0,1
1582116722,1,0
1582118521,0,3
1582119721,1,0
1582120921,0,3
1582121521,1,1
1582122121,1,2
1582123321,0,7
1582124521,1,2
1582126321,1,1
1582126921,1,3
1582128121,5,0
1582129321,1,3
1582129921,1,0
1582130521,0,3
1582131121,1,0
1582132321,0,2
1582133521,1,7
1582135921,0,2
1582136522,4,1
1582137121,1,1
1582138321,0,1
