DateTime,AddedIPs,RemovedIPs
1582032721,11,11
1582033321,55,55
1582034522,44,44
1582035121,38,38
1582035721,19,19
1582036321,24,24
1582037521,70,70
1582038121,30,30
1582039322,77,77
1582039921,21,21
1582041121,46,46
1582041721,31,31
1582042921,56,56
1582043521,24,24
1582044121,33,33
1582044721,24,24
1582045322,14,14
1582045921,21,21
1582046521,12,12
1582047721,26,26
1582048921,77,77
1582049521,64,64
1582050121,24,24
1582050722,54,54
1582051321,43,43
1582052521,69,69
1582053721,44,44
1582054921,17,17
1582056121,30,30
1582057321,29,29
1582057921,7,7
1582058521,33,33
1582059721,21,21
1582060321,7,7
1582060921,38,38
1582061521,51,51
1582062121,58,58
1582062721,27,27
1582063921,91,91
1582064521,9,9
1582065121,28,28
1582065721,46,46
1582066922,86,86
1582068122,36,36
1582068721,39,39
1582069321,9,9
1582070521,91,91
1582071721,95,95
1582072921,59,59
1582074721,87,87
1582075322,13,13
1582075921,15,15
1582076521,14,14
1582077721,60,60
1582078921,24,24
1582080122,64,64
1582081321,34,34
1582082521,33,33
1582083722,46,46
1582084921,96,96
1582086121,75,75
1582086721,45,45
1582087321,12,12
1582088521,33,33
1582089721,31,31
1582090921,26,26
1582092121,35,35
1582092722,50,50
1582093321,11,11
1582094521,42,42
1582095721,32,32
1582096921,19,19
1582098121,60,60
1582099321,59,59
1582099921,65,65
1582101121,57,57
1582101721,32,32
1582102921,20,20
1582103521,3,3
1582104121,3,3
1582105321,30,30
1582105921,10,10
1582107121,23,23
1582107721,21,21
1582108321,28,28
1582108921,37,37
1582109522,14,14
1582110721,41,41
1582111321,54,54
1582112522,76,76
1582113121,15,15
1582114321,45,45
1582114921,36,36
1582115522,10,10
1582116121,24,24
1582116722,52,52
1582117321,20,20
1582117921,27,27
1582118521,32,32
1582119121,21,21
1582119721,5,5
1582120921,26,26
1582121521,31,31
1582122121,55,55
1582122721,17,17
1582123321,10,10
1582124521,91,91
1582125121,41,41
1582126321,78,78
1582126921,41,41
1582128121,68,68
1582129321,32,32
1582129921,28,28
1582130521,6,6
1582131121,6,6
1582131722,5,5
1582132321,4,4
1582133521,21,21
1582134121,22,22
1582134721,17,17
1582135321,7,7
1582135921,15,15
1582136522,37,37
1582137121,38,38
1582138321,76,76
1582138922,9,9
1582140121,26,26
1582140721,23,23
1582141321,14,14
1582141921,12,12
1582143121,9,9
1582143721,23,23
1582144921,12,12
1582146121,18,18
1582146721,19,19
1582147921,86,86
1582148522,70,70
1582149122,38,38
1582150322,44,44
1582150921,40,40
1582151521,5,5
1582152122,28,28
1582152721,34,34
1582153921,38,38
1582154522,20,20
1582155121,27,27
1582155722,20,20
1582156321,7,7
1582156921,35,35
1582158121,14,14
1582158721,29,29
1582159322,16,16
1582160521,24,24
1582161722,38,38
1582162921,70,70
1582163522,12,12
1582164721,40,40
1582165321,14,14
1582165921,31,31
1582167121,34,34
1582168321,65,65
1582168921,18,18
1582170121,14,14
1582170721,56,56
1582171321,42,42
1582171921,9,9
1582172521,41,41
1582173121,13,13
1582173721,7,7
1582174921,50,50
1582176121,56,56
1582176722,11,11
1582177321,20,20
1582177921,29,29
1582178521,30,30
1582179721,10,10
1582180921,22,22
1582182121,24,24
1582182721,16,16
1582183321,3,3
1582184521,44,44
1582185122,41,41
1582185721,29,29
1582186921,76,76
1582188121,78,78
1582189321,36,36
1582190521,30,30
1582191721,52,52
1582192321,22,22
1582192921,40,40
1582193521,27,27
1582194121,9,9
1582194721,31,31
1582195321,24,24
1582196521,21,21
1582197121,28,28
1582197721,32,32
1582198921,40,40
1582199521,14,14
1582200121,9,9
1582200722,2,2
1582201321,23,23
1582201921,24,24
1582202521,5,5
1582203121,12,12
1582203721,6,6
1582204921,9,9
1582205522,15,15
1582206122,30,30
1582206721,30,30
1582207321,29,29
1582207921,9,9
1582208521,12,12
1582209122,22,22
1582209722,39,39
1582210321,39,39
1582211521,46,46
1582212122,8,8
1582213322,25,25
1582213922,8,8
1582214521,12,12
1582215121,11,11
1582215721,15,15
1582216921,15,15
1582217521,14,14
1582218122,6,6
1582219321,21,21
1582219921,18,18
1582220521,69,70
1582221121,34,33
1582221722,42,42
1582222321,33,33
1582222921,26,26
1582224121,56,56
1582225321,38,38
1582226521,43,43
1582227121,62,62
1582228321,54,54
1582228921,21,21
1582230121,15,15
1582230721,5,5
1582231322,10,10
1582232521,16,16
1582233721,31,31
1582234321,45,45
1582235521,38,38
1582236121,11,11
1582237322,5,5
1582237922,11,11
1582238521,3,3
1582239121,9,9
1582240321,8,8
1582240921,8,8
1582242121,8,8
1582243321,18,18
1582243922,7,7
1582245121,11,11
1582245721,2,2
1582246321,27,27
1582246921,4,4
1582248121,15,15
1582248722,6,6
1582249321,6,6
1582250521,10,10
1582251721,7,7
1582252922,14,14
1582254121,18,18
1582255321,8,8
1582255922,22,22
1582256521,7,7
1582257721,38,38
1582258321,8,8
1582258921,37,37
1582259522,21,21
1582260722,14,14
1582261321,11,11
1582261922,5,5
1582262521,22,22
1582263721,10,10
1582264921,14,14
1582266122,14,14
1582267321,32,32
1582268522,9,9
1582269721,30,30
1582270921,8,8
1582271521,31,31
1582273322,16,16
1582274521,10,10
1582275721,15,15
1582276322,13,13
1582276921,9,9
1582278121,33,33
1582279922,55,55
1582281122,11,11
1582281721,11,11
1582282321,5,5
1582282921,5,5
1582283521,12,12
1582284121,3,3
1582284721,11,11
1582285322,6,6
1582285921,7,7
1582286521,6,6
1582287721,18,18
1582288322,19,19
1582288921,12,12
1582290122,14,14
1582291321,9,9
1582291921,29,29
1582292521,19,19
1582293121,98,98
1582293721,31,31
1582294321,26,26
1582294921,20,20
1582295521,51,51
1582296122,39,39
1582297321,54,54
1582297921,14,14
1582298521,25,25
1582299721,31,31
1582300321,27,27
1582301521,66,66
1582302122,33,33
1582302722,33,33
1582303922,33,33
1582304521,51,51
1582305121,10,10
1582306321,24,24
1582306921,61,61
1582308121,50,50
1582309321,77,77
1582309921,60,60
1582310521,28,28
1582311722,49,49
1582312921,27,27
1582313521,100,100
1582314121,60,60
1582315321,68,68
1582315921,47,47
1582316521,28,28
1582317121,38,38
1582317721,39,39
1582318921,79,79
1582319521,29,29
1582320121,30,30
1582321322,22,22
1582322521,53,53
1582323722,50,50
1582324321,9,9
1582324921,65,65
1582325521,13,13
1582326121,36,36
1582326722,52,52
1582327321,20,20
1582328521,86,86
1582329721,84,84
1582330921,28,28
1582332121,39,39
1582333321,69,69
1582334521,18,18
1582335121,19,19
1582335721,61,61
1582336922,28,28
1582337522,20,20
1582338721,28,28
1582339321,49,49
1582340522,82,82
1582341721,77,77
1582342921,65,65
1582344121,62,62
1582345322,20,20
1582346522,90,90
1582347721,92,92
1582348921,87,87
1582350121,73,73
1582351321,89,89
1582352522,72,72
1582353721,63,63
1582354921,15,15
1582356121,37,37
1582357321,29,29
1582358521,56,56
1582359121,38,38
1582360321,82,82
1582360921,32,32
1582362122,61,61
1582362721,27,27
1582363921,63,63
1582365121,72,72
1582365721,23,23
1582366322,41,41
1582366921,36,36
1582367521,21,21
1582368122,59,59
1582368722,59,59
1582369321,11,11
1582369921,8,8
1582370521,14,14
1582371121,57,57
1582371721,25,25
1582372322,30,30
1582373522,62,62
1582374121,20,20
1582374721,9,9
1582375321,19,19
1582375921,28,28
1582376522,6,6
1582377121,24,24
1582377722,36,36
1582378321,8,8
1582378921,27,27
1582380121,66,66
1582380721,11,11
1582381321,12,12
1582382521,50,50
1582383121,47,47
1582383722,32,32
1582384922,72,72
1582385521,11,11
1582386121,10,10
1582387321,49,49
1582387922,44,44
1582388521,32,32
1582389121,15,15
1582389722,47,47
1582390321,60,60
1582391521,61,61
1582392122,9,9
1582392722,15,15
1582393321,38,38
1582394521,86,86
1582395121,23,23
1582396322,96,96
1582396921,9,9
1582398121,88,88
1582398721,56,56
1582399322,53,53
